date,browser,os,visits
2023-12-04,Chrome,Windows,143308
2023-12-04,Safari,iOS,94779
2023-12-04,Edge,Windows,64824
2023-12-04,Chrome,Android,55346
2023-12-04,Chrome,Chrome OS,37564
2023-12-04,Chrome,Macintosh,34101
2023-12-04,Safari,Macintosh,29388
2023-12-04,Chrome,iOS,13532
2023-12-04,Chrome,Linux,10647
2023-12-04,Firefox,Windows,6766
2023-12-04,Safari (in-app),iOS,4174
2023-12-04,Samsung Internet,Android,3956
2023-12-04,Firefox,Macintosh,2487
2023-12-04,Android Webview,Android,1523
2023-12-04,Opera,Windows,713
2023-12-04,Firefox,Android,603
2023-12-04,Amazon Silk,Android,525
2023-12-04,(not set),iOS,465
2023-12-04,Firefox,Linux,403
2023-12-04,Edge,Android,328
2023-12-04,Opera,Android,238
2023-12-04,Mozilla Compatible Agent,Macintosh,207
2023-12-04,Edge,Macintosh,195
2023-12-04,Internet Explorer,Windows,161
2023-12-04,Samsung Internet,Linux,116
2023-12-03,Safari,iOS,91860
2023-12-03,Chrome,Android,52805
2023-12-03,Chrome,Windows,47803
2023-12-03,Safari,Macintosh,21660
2023-12-03,Chrome,Macintosh,21092
2023-12-03,Edge,Windows,16456
2023-12-03,Chrome,iOS,13786
2023-12-03,Chrome,Linux,11378
2023-12-03,Chrome,Chrome OS,6362
2023-12-03,Safari (in-app),iOS,4080
2023-12-03,Samsung Internet,Android,3855
2023-12-03,Firefox,Windows,3283
2023-12-03,Firefox,Macintosh,1937
2023-12-03,Android Webview,Android,1541
2023-12-03,Firefox,Android,667
2023-12-03,Opera,Windows,520
2023-12-03,Amazon Silk,Android,480
2023-12-03,(not set),iOS,432
2023-12-03,Edge,Android,251
2023-12-03,Firefox,Linux,247
2023-12-03,Opera,Android,222
2023-12-03,Mozilla Compatible Agent,Macintosh,158
2023-12-03,Samsung Internet,Linux,101
2023-12-02,Safari,iOS,87088
2023-12-02,Chrome,Android,54519
2023-12-02,Chrome,Windows,39967
2023-12-02,Safari,Macintosh,17825
2023-12-02,Chrome,Macintosh,14180
2023-12-02,Edge,Windows,13991
2023-12-02,Chrome,iOS,13637
2023-12-02,Chrome,Linux,10325
2023-12-02,Safari (in-app),iOS,4315
2023-12-02,Chrome,Chrome OS,4036
2023-12-02,Samsung Internet,Android,3697
2023-12-02,Firefox,Windows,2843
2023-12-02,Firefox,Macintosh,1600
2023-12-02,Android Webview,Android,1506
2023-12-02,Firefox,Android,680
2023-12-02,Amazon Silk,Android,471
2023-12-02,(not set),iOS,446
2023-12-02,Opera,Windows,389
2023-12-02,Edge,Android,260
2023-12-02,Firefox,Linux,260
2023-12-02,Opera,Android,211
2023-12-02,Mozilla Compatible Agent,Macintosh,161
2023-12-02,Samsung Internet,Linux,114
2023-12-01,Chrome,Windows,121747
2023-12-01,Safari,iOS,92526
2023-12-01,Chrome,Android,54302
2023-12-01,Edge,Windows,53547
2023-12-01,Chrome,Chrome OS,32017
2023-12-01,Safari,Macintosh,24769
2023-12-01,Chrome,Macintosh,24404
2023-12-01,Chrome,iOS,12959
2023-12-01,Chrome,Linux,10289
2023-12-01,Firefox,Windows,5785
2023-12-01,Safari (in-app),iOS,4677
2023-12-01,Samsung Internet,Android,3902
2023-12-01,Firefox,Macintosh,2235
2023-12-01,Android Webview,Android,1698
2023-12-01,Firefox,Android,622
2023-12-01,Opera,Windows,509
2023-12-01,Amazon Silk,Android,490
2023-12-01,(not set),iOS,489
2023-12-01,Edge,Android,327
2023-12-01,Firefox,Linux,283
2023-12-01,Opera,Android,211
2023-12-01,Mozilla Compatible Agent,Macintosh,202
2023-12-01,Edge,Macintosh,169
2023-12-01,Internet Explorer,Windows,150
2023-12-01,Samsung Internet,Linux,105
2023-11-30,Chrome,Windows,134992
2023-11-30,Safari,iOS,92752
2023-11-30,Edge,Windows,61968
2023-11-30,Chrome,Android,55382
2023-11-30,Chrome,Chrome OS,39995
2023-11-30,Chrome,Macintosh,31258
2023-11-30,Safari,Macintosh,29380
2023-11-30,Chrome,iOS,12795
2023-11-30,Chrome,Linux,10129
2023-11-30,Firefox,Windows,6316
2023-11-30,Safari (in-app),iOS,5118
2023-11-30,Samsung Internet,Android,3792
2023-11-30,Firefox,Macintosh,2276
2023-11-30,Android Webview,Android,1773
2023-11-30,Firefox,Android,640
2023-11-30,Opera,Windows,589
2023-11-30,(not set),iOS,506
2023-11-30,Amazon Silk,Android,496
2023-11-30,Firefox,Linux,291
2023-11-30,Edge,Android,278
2023-11-30,Opera,Android,250
2023-11-30,Mozilla Compatible Agent,Macintosh,229
2023-11-30,Edge,Macintosh,220
2023-11-30,Internet Explorer,Windows,164
2023-11-29,Chrome,Windows,137966
2023-11-29,Safari,iOS,92891
2023-11-29,Edge,Windows,62903
2023-11-29,Chrome,Android,53839
2023-11-29,Chrome,Chrome OS,40029
2023-11-29,Chrome,Macintosh,31045
2023-11-29,Safari,Macintosh,27871
2023-11-29,Chrome,iOS,12804
2023-11-29,Chrome,Linux,10375
2023-11-29,Firefox,Windows,6641
2023-11-29,Safari (in-app),iOS,5025
2023-11-29,Samsung Internet,Android,4077
2023-11-29,Firefox,Macintosh,2340
2023-11-29,Android Webview,Android,1897
2023-11-29,Opera,Windows,622
2023-11-29,Firefox,Android,605
2023-11-29,(not set),iOS,516
2023-11-29,Amazon Silk,Android,506
2023-11-29,Firefox,Linux,330
2023-11-29,Edge,Android,286
2023-11-29,Opera,Android,282
2023-11-29,Mozilla Compatible Agent,Macintosh,224
2023-11-29,Edge,Macintosh,210
2023-11-29,Internet Explorer,Windows,205
2023-11-29,(not set),(not set),160
2023-11-29,Samsung Internet,Linux,131
2023-11-28,Chrome,Windows,143342
2023-11-28,Safari,iOS,92987
2023-11-28,Edge,Windows,69639
2023-11-28,Chrome,Android,51603
2023-11-28,Chrome,Chrome OS,40728
2023-11-28,Chrome,Macintosh,33500
2023-11-28,Safari,Macintosh,28429
2023-11-28,Chrome,iOS,12755
2023-11-28,Chrome,Linux,10344
2023-11-28,Firefox,Windows,6771
2023-11-28,Safari (in-app),iOS,5354
2023-11-28,Samsung Internet,Android,3909
2023-11-28,Firefox,Macintosh,2473
2023-11-28,Android Webview,Android,2095
2023-11-28,Firefox,Android,686
2023-11-28,Opera,Windows,667
2023-11-28,(not set),iOS,574
2023-11-28,Amazon Silk,Android,491
2023-11-28,Firefox,Linux,390
2023-11-28,Edge,Android,339
2023-11-28,Opera,Android,271
2023-11-28,Mozilla Compatible Agent,Macintosh,224
2023-11-28,Internet Explorer,Windows,214
2023-11-28,Edge,Macintosh,184
2023-11-28,(not set),(not set),154
2023-11-28,Opera Mini,(not set),107
2023-11-28,Samsung Internet,Linux,104
2023-11-27,Chrome,Windows,144407
2023-11-27,Safari,iOS,94933
2023-11-27,Edge,Windows,68921
2023-11-27,Chrome,Android,53593
2023-11-27,Chrome,Chrome OS,34797
2023-11-27,Chrome,Macintosh,32289
2023-11-27,Safari,Macintosh,28782
2023-11-27,Chrome,iOS,12559
2023-11-27,Chrome,Linux,10393
2023-11-27,Firefox,Windows,6743
2023-11-27,Safari (in-app),iOS,5105
2023-11-27,Samsung Internet,Android,3836
2023-11-27,Firefox,Macintosh,2463
2023-11-27,Android Webview,Android,1938
2023-11-27,Firefox,Android,654
2023-11-27,(not set),iOS,644
2023-11-27,Opera,Windows,633
2023-11-27,Amazon Silk,Android,450
2023-11-27,Firefox,Linux,380
2023-11-27,Edge,Android,302
2023-11-27,Opera,Android,255
2023-11-27,Mozilla Compatible Agent,Macintosh,216
2023-11-27,Internet Explorer,Windows,185
2023-11-27,Edge,Macintosh,177
2023-11-27,Samsung Internet,Linux,126
2023-11-26,Safari,iOS,99014
2023-11-26,Chrome,Android,53754
2023-11-26,Chrome,Windows,47260
2023-11-26,Safari,Macintosh,20249
2023-11-26,Chrome,Macintosh,18657
2023-11-26,Edge,Windows,15416
2023-11-26,Chrome,iOS,14086
2023-11-26,Chrome,Linux,11328
2023-11-26,Chrome,Chrome OS,5217
2023-11-26,Safari (in-app),iOS,4595
2023-11-26,Samsung Internet,Android,3713
2023-11-26,Firefox,Windows,3215
2023-11-26,Firefox,Macintosh,1808
2023-11-26,Android Webview,Android,1682
2023-11-26,Firefox,Android,711
2023-11-26,(not set),iOS,600
2023-11-26,Opera,Windows,506
2023-11-26,Amazon Silk,Android,449
2023-11-26,Edge,Android,264
2023-11-26,Firefox,Linux,244
2023-11-26,Opera,Android,240
2023-11-26,Mozilla Compatible Agent,Macintosh,167
2023-11-26,Opera Mini,(not set),119
2023-11-26,Samsung Internet,Linux,114
2023-11-25,Safari,iOS,100400
2023-11-25,Chrome,Android,54887
2023-11-25,Chrome,Windows,37096
2023-11-25,Safari,Macintosh,16728
2023-11-25,Chrome,iOS,14208
2023-11-25,Chrome,Macintosh,12881
2023-11-25,Edge,Windows,11816
2023-11-25,Chrome,Linux,10116
2023-11-25,Safari (in-app),iOS,4477
2023-11-25,Samsung Internet,Android,3704
2023-11-25,Chrome,Chrome OS,3281
2023-11-25,Firefox,Windows,2692
2023-11-25,Firefox,Macintosh,1732
2023-11-25,Android Webview,Android,1547
2023-11-25,Firefox,Android,800
2023-11-25,(not set),iOS,712
2023-11-25,Amazon Silk,Android,412
2023-11-25,Opera,Windows,376
2023-11-25,Firefox,Linux,312
2023-11-25,Edge,Android,273
2023-11-25,Opera,Android,218
2023-11-25,Mozilla Compatible Agent,Macintosh,153
2023-11-25,Opera Mini,(not set),106
2023-11-24,Safari,iOS,103017
2023-11-24,Chrome,Windows,55556
2023-11-24,Chrome,Android,54446
2023-11-24,Edge,Windows,22307
2023-11-24,Safari,Macintosh,16591
2023-11-24,Chrome,iOS,14847
2023-11-24,Chrome,Macintosh,12996
2023-11-24,Chrome,Linux,9615
2023-11-24,Safari (in-app),iOS,4508
2023-11-24,Samsung Internet,Android,3806
2023-11-24,Firefox,Windows,3475
2023-11-24,Chrome,Chrome OS,3413
2023-11-24,Firefox,Macintosh,1859
2023-11-24,Android Webview,Android,1729
2023-11-24,(not set),iOS,756
2023-11-24,Firefox,Android,747
2023-11-24,Amazon Silk,Android,476
2023-11-24,Opera,Windows,408
2023-11-24,Firefox,Linux,304
2023-11-24,Edge,Android,292
2023-11-24,Opera,Android,220
2023-11-24,Mozilla Compatible Agent,Macintosh,162
2023-11-24,Samsung Internet,Linux,126
2023-11-24,Edge,Macintosh,108
2023-11-23,Safari,iOS,116911
2023-11-23,Chrome,Android,61416
2023-11-23,Chrome,Windows,44828
2023-11-23,Safari,Macintosh,16771
2023-11-23,Chrome,iOS,16570
2023-11-23,Edge,Windows,12342
2023-11-23,Chrome,Linux,10696
2023-11-23,Chrome,Macintosh,10415
2023-11-23,Samsung Internet,Android,4310
2023-11-23,Safari (in-app),iOS,4128
2023-11-23,Firefox,Windows,2973
2023-11-23,Chrome,Chrome OS,2658
2023-11-23,Android Webview,Android,1687
2023-11-23,Firefox,Macintosh,1662
2023-11-23,Firefox,Android,874
2023-11-23,(not set),iOS,747
2023-11-23,Amazon Silk,Android,548
2023-11-23,Opera,Windows,497
2023-11-23,Edge,Android,351
2023-11-23,Firefox,Linux,265
2023-11-23,Opera,Android,234
2023-11-23,Mozilla Compatible Agent,Macintosh,174
2023-11-23,Samsung Internet,Linux,102
2023-11-22,Safari,iOS,126326
2023-11-22,Chrome,Windows,95948
2023-11-22,Chrome,Android,64381
2023-11-22,Edge,Windows,42192
2023-11-22,Safari,Macintosh,22058
2023-11-22,Chrome,Macintosh,18279
2023-11-22,Chrome,iOS,16845
2023-11-22,Chrome,Linux,10660
2023-11-22,Chrome,Chrome OS,5935
2023-11-22,Firefox,Windows,5181
2023-11-22,Safari (in-app),iOS,4768
2023-11-22,Samsung Internet,Android,4515
2023-11-22,Firefox,Macintosh,2197
2023-11-22,Android Webview,Android,2090
2023-11-22,(not set),iOS,929
2023-11-22,Firefox,Android,820
2023-11-22,Amazon Silk,Android,763
