date,browser,os_version,visits
2023-12-06,Edge,11,15615
2023-12-06,Firefox,10,5664
2023-12-06,Chrome,7,1796
2023-12-06,Opera,10,621
2023-12-06,Chrome,8.1,594
2023-12-06,Firefox,7,197
2023-12-06,Internet Explorer,10,148
2023-12-05,Chrome,10,91030
2023-12-05,Edge,10,45815
2023-12-05,Chrome,11,38964
2023-12-05,Edge,11,16829
2023-12-05,Firefox,10,6274
2023-12-05,Chrome,7,1831
2023-12-05,Opera,10,661
2023-12-05,Chrome,8.1,554
2023-12-05,Firefox,7,190
2023-12-05,Internet Explorer,10,162
2023-12-04,Chrome,10,91907
2023-12-04,Edge,10,45444
2023-12-04,Chrome,11,39792
2023-12-04,Edge,11,16849
2023-12-04,Firefox,10,6146
2023-12-04,Chrome,7,1751
2023-12-04,Opera,10,649
2023-12-04,Chrome,8.1,623
2023-12-04,Firefox,7,198
2023-12-04,Internet Explorer,10,136
2023-12-03,Chrome,10,25247
2023-12-03,Chrome,11,22060
2023-12-03,Edge,11,9191
2023-12-03,Edge,10,7091
2023-12-03,Firefox,10,3114
2023-12-03,Chrome,7,940
2023-12-03,Opera,10,498
2023-12-03,Chrome,8.1,363
2023-12-03,Firefox,7,122
2023-12-02,Chrome,10,21040
2023-12-02,Chrome,11,16996
2023-12-02,Edge,11,7335
2023-12-02,Edge,10,6668
2023-12-02,Firefox,10,2675
2023-12-02,Chrome,7,915
2023-12-02,Chrome,8.1,375
2023-12-02,Opera,10,363
2023-12-02,Firefox,7,128
2023-12-01,Chrome,10,81382
2023-12-01,Edge,10,37965
2023-12-01,Chrome,11,33832
2023-12-01,Edge,11,14298
2023-12-01,Firefox,10,5411
2023-12-01,Chrome,7,1396
2023-12-01,Chrome,8.1,618
2023-12-01,Opera,10,484
2023-12-01,Firefox,7,211
2023-12-01,Internet Explorer,10,141
2023-11-30,Chrome,10,91030
2023-11-30,Edge,10,42700
2023-11-30,Chrome,11,39914
2023-11-30,Edge,11,16253
2023-11-30,Firefox,10,5844
2023-11-30,Chrome,7,1534
2023-11-30,Chrome,8.1,643
2023-11-30,Opera,10,558
2023-11-30,Firefox,7,188
2023-11-30,Internet Explorer,10,146
2023-11-30,Chrome,8,126
2023-11-29,Chrome,10,91475
2023-11-29,Edge,10,44139
2023-11-29,Chrome,11,40331
2023-11-29,Edge,11,16910
2023-11-29,Firefox,10,6159
2023-11-29,Chrome,7,1623
2023-11-29,Chrome,8.1,592
2023-11-29,Opera,10,584
2023-11-29,Firefox,7,198
2023-11-29,Internet Explorer,10,176
2023-11-29,Edge,7,101
2023-11-28,Chrome,10,92538
2023-11-28,Edge,10,48927
2023-11-28,Chrome,11,40905
2023-11-28,Edge,11,17050
2023-11-28,Firefox,10,6228
2023-11-28,Chrome,7,1626
2023-11-28,Chrome,8.1,671
2023-11-28,Opera,10,609
2023-11-28,Firefox,7,201
2023-11-28,Internet Explorer,10,176
2023-11-28,Edge,7,117
2023-11-27,Chrome,10,93833
2023-11-27,Edge,10,47892
2023-11-27,Chrome,11,40621
2023-11-27,Edge,11,17022
2023-11-27,Firefox,10,6083
2023-11-27,Chrome,7,1542
2023-11-27,Chrome,8.1,612
2023-11-27,Opera,10,570
2023-11-27,Firefox,7,227
2023-11-27,Internet Explorer,10,160
2023-11-27,Edge,7,119
2023-11-26,Chrome,10,25470
2023-11-26,Chrome,11,19724
2023-11-26,Edge,11,8366
2023-11-26,Edge,10,6928
2023-11-26,Firefox,10,3048
2023-11-26,Chrome,7,972
2023-11-26,Opera,10,492
2023-11-26,Chrome,8.1,322
2023-11-26,Firefox,7,137
2023-11-25,Chrome,10,20933
2023-11-25,Chrome,11,14758
