date,browser,os,visits
2023-12-12,Opera Mini,(not set),341
2023-12-12,YaBrowser,Android,238
2023-12-12,Opera,Macintosh,154
2023-12-12,Edge,Linux,132
2023-12-12,Android Runtime,Android,126
2023-12-12,Whale Browser,Android,124
2023-12-12,UC Browser,Android,116
2023-12-12,Whale Browser,Windows,107
2023-12-11,Chrome,Windows,195310
2023-12-11,Chrome,Android,142579
2023-12-11,Chrome,Chrome OS,129270
2023-12-11,Safari,iOS,120754
2023-12-11,Safari,Macintosh,65495
2023-12-11,Edge,Windows,61160
2023-12-11,Chrome,Macintosh,49142
2023-12-11,Firefox,Windows,20479
2023-12-11,Chrome,iOS,19761
2023-12-11,Safari (in-app),iOS,17207
2023-12-11,Chrome,Linux,16754
2023-12-11,Android Webview,Android,15508
2023-12-11,Samsung Internet,Android,10369
2023-12-11,(not set),(not set),5227
2023-12-11,Firefox,Macintosh,4766
2023-12-11,Firefox,Linux,3517
2023-12-11,Opera,Windows,3369
2023-12-11,Mozilla Compatible Agent,Macintosh,2080
2023-12-11,Firefox,Android,1536
2023-12-11,Edge,Android,1078
2023-12-11,Amazon Silk,Android,1041
2023-12-11,YaBrowser,Windows,907
2023-12-11,Opera,Android,884
2023-12-11,Samsung Internet,Linux,493
2023-12-11,Edge,Macintosh,388
2023-12-11,Internet Explorer,Windows,377
2023-12-11,Opera Mini,(not set),353
2023-12-11,YaBrowser,Android,318
2023-12-11,Opera,Macintosh,173
2023-12-11,Android Runtime,Android,160
2023-12-11,Whale Browser,Android,142
2023-12-11,Edge,Linux,130
2023-12-11,UC Browser,Android,121
2023-12-11,Whale Browser,Windows,107
2023-12-10,Chrome,Android,139725
2023-12-10,Safari,iOS,116236
2023-12-10,Chrome,Windows,103144
2023-12-10,Safari,Macintosh,42036
2023-12-10,Edge,Windows,34819
2023-12-10,Chrome,Macintosh,30652
2023-12-10,Android Webview,Android,25195
2023-12-10,Safari (in-app),iOS,20324
2023-12-10,Chrome,Chrome OS,18692
2023-12-10,Chrome,Linux,17768
2023-12-10,Chrome,iOS,17605
2023-12-10,Firefox,Windows,13429
2023-12-10,Samsung Internet,Android,10176
2023-12-10,Firefox,Macintosh,3009
2023-12-10,Opera,Windows,2963
2023-12-10,Firefox,Linux,1945
2023-12-10,Mozilla Compatible Agent,Macintosh,1914
2023-12-10,Firefox,Android,1451
2023-12-10,Amazon Silk,Android,992
2023-12-10,Edge,Android,941
2023-12-10,YaBrowser,Windows,895
2023-12-10,Opera,Android,879
2023-12-10,Samsung Internet,Linux,497
2023-12-10,Opera Mini,(not set),342
2023-12-10,YaBrowser,Android,282
2023-12-10,(not set),(not set),248
2023-12-10,Edge,Macintosh,223
2023-12-10,Android Runtime,Android,161
2023-12-10,UC Browser,Android,141
2023-12-10,Whale Browser,Android,122
2023-12-10,Opera,Macintosh,120
2023-12-09,Chrome,Android,137796
2023-12-09,Safari,iOS,112589
2023-12-09,Chrome,Windows,89983
2023-12-09,Safari,Macintosh,36207
2023-12-09,Edge,Windows,28288
2023-12-09,Chrome,Linux,21932
2023-12-09,Chrome,Macintosh,21660
2023-12-09,Chrome,iOS,16021
2023-12-09,Android Webview,Android,13424
2023-12-09,Chrome,Chrome OS,13181
2023-12-09,Safari (in-app),iOS,12784
2023-12-09,Firefox,Windows,12532
2023-12-09,Samsung Internet,Android,10036
2023-12-09,Opera,Windows,2662
2023-12-09,Firefox,Macintosh,2610
2023-12-09,Firefox,Linux,1786
2023-12-09,Mozilla Compatible Agent,Macintosh,1719
2023-12-09,Firefox,Android,1396
2023-12-09,Amazon Silk,Android,956
2023-12-09,Edge,Android,919
2023-12-09,Opera,Android,887
2023-12-09,YaBrowser,Windows,782
2023-12-09,Samsung Internet,Linux,403
2023-12-09,Opera Mini,(not set),342
2023-12-09,YaBrowser,Android,238
2023-12-09,(not set),(not set),216
2023-12-09,Edge,Macintosh,212
2023-12-09,UC Browser,Android,133
2023-12-09,Android Runtime,Android,131
