page_title,event_label,page,total_events
"Clean Energy Tax Provisions in the Inflation Reduction Act | Clean Energy | The White House",https://www.whitehouse.gov/wp-content/uploads/2023/02/IRA-Tax-Programs-Data-Dictionary.csv,whitehouse.gov/cleanenergy/clean-energy-tax-provisions/,6
"FACT SHEET: Biden-Harris Administration Announces National Standards Strategy for Critical and Emerging Technology | The White House",https://www.whitehouse.gov/wp-content/uploads/2023/05/US-Gov-National-Standards-Strategy-2023.pdf,whitehouse.gov/briefing-room/statements-releases/2023/05/04/fact-sheet-biden-harris-administration-announces-national-standards-strategy-for-critical-and-emerging-technology/,6
"FACT SHEET: The National Action Plan to Combat Human Trafficking (NAP) | The White House",https://www.ilo.org/wcmsp5/groups/public/@dgreports/@dcomm/documents/publication/wcms_575479.pdf,whitehouse.gov/briefing-room/statements-releases/2021/12/03/fact-sheet-the-national-action-plan-to-combat-human-trafficking-nap/,6
"FACT SHEET: The National Action Plan to Combat Human Trafficking (NAP) | The White House",https://www.whitehouse.gov/wp-content/uploads/2021/12/National-Action-Plan-to-Combat-Human-Trafficking.pdf,whitehouse.gov/briefing-room/statements-releases/2021/12/03/fact-sheet-the-national-action-plan-to-combat-human-trafficking-nap/,6
"Fact Sheet: U.S. Strategy on Countering Corruption | The White House",https://www.whitehouse.gov/wp-content/uploads/2021/12/United-States-Strategy-on-Countering-Corruption.pdf,whitehouse.gov/briefing-room/statements-releases/2021/12/06/fact-sheet-u-s-strategy-on-countering-corruption/,6
"Gender Policy Council | The White House",https://www.whitehouse.gov/wp-content/uploads/2021/10/National-Strategy-on-Gender-Equity-and-Equality.pdf,whitehouse.gov/gpc/,6
"Historical Tables | OMB | The White House",https://www.whitehouse.gov/wp-content/uploads/2023/03/hist01z3_fy2024.xlsx,whitehouse.gov/omb/budget/historical-tables/,6
"Historical Tables | OMB | The White House",https://www.whitehouse.gov/wp-content/uploads/2023/03/hist03z1_fy2024.xlsx,whitehouse.gov/omb/budget/historical-tables/,6
"Justice40 Initiative | Environmental Justice | The White House",https://www.whitehouse.gov/wp-content/uploads/2021/07/M-21-28.pdf,whitehouse.gov/environmentaljustice/justice40/,6
"Maps of Progress | Build.gov | The White House",https://www.whitehouse.gov/wp-content/uploads/2023/11/Invest.gov_PublicInvestments_Map_Data_Updated11152023-1.xlsx,whitehouse.gov/build/maps-of-progress/,6
"State Fact Sheets | Build.gov | The White House",https://www.whitehouse.gov/wp-content/uploads/2023/10/Colorado-Fact-Sheet.pdf,whitehouse.gov/build/resources/state-fact-sheets/,6
"The President and Vice President release their 2022 tax returns | The White House",https://www.whitehouse.gov/wp-content/uploads/2023/04/POTUS-2022-Tax-Returns-Final-Signed-Redacted.pdf,whitehouse.gov/briefing-room/statements-releases/2023/04/18/the-president-and-vice-president-release-their-2022-tax-returns/,6
"2021 Holidays at the White House | The White House",https://www.whitehouse.gov/wp-content/uploads/2021/11/Holiday-Tourbook-2021.pdf,whitehouse.gov/holidays-2021/,5
"A New Environmental Justice Playbook for Federal Agencies | CEQ | The White House",https://www.whitehouse.gov/wp-content/uploads/2023/11/Strategic-Planning-to-Advance-Environmental-Justice_final-Oct.-2023.pdf,whitehouse.gov/ceq/news-updates/2023/11/03/a-new-environmental-justice-playbook-for-federal-agencies/,5
"Analytical Perspectives | OMB | The White House",https://www.whitehouse.gov/wp-content/uploads/2023/03/ap_13_strengthening_fy2024.pdf,whitehouse.gov/omb/budget/analytical-perspectives/,5
"Ethics Waivers and Authorizations | The White House",https://www.whitehouse.gov/wp-content/uploads/2022/11/Drake-waiver.pdf,whitehouse.gov/disclosures/ethics-waivers-and-authorizations/,5
"FACT SHEET: Biden-Harris Administration Announces New Initiative to Tackle Unsheltered Homelessness | The White House",https://www.usich.gov/All_In_The_Federal_Strategic_Plan_to_Prevent_and_End_Homelessness.pdf,whitehouse.gov/briefing-room/statements-releases/2023/05/18/fact-sheet-biden-harris-administration-announces-new-initiative-to-tackle-unsheltered-homelessness/,5
"FACT SHEET: Biden-Harris Administration Releases Fifth National Climate Assessment and Announces More Than $6 Billion to Strengthen Climate Resilience Across the Country | The White House",https://www.whitehouse.gov/wp-content/uploads/2023/09/National-Climate-Resilience-Framework-FINAL.pdf,whitehouse.gov/briefing-room/statements-releases/2023/11/14/fact-sheet-biden-harris-administration-releases-fifth-national-climate-assessment-and-announces-more-than-6-billion-to-strengthen-climate-resilience-across-the-country/,5
"FACT SHEET: Biden-Harris Administration Takes New Steps to Advance Responsible Artificial Intelligence Research, Development, and Deployment | The White House",https://www.whitehouse.gov/wp-content/uploads/2023/05/National-Artificial-Intelligence-Research-and-Development-Strategic-Plan-2023-Update.pdf,whitehouse.gov/briefing-room/statements-releases/2023/05/23/fact-sheet-biden-harris-administration-takes-new-steps-to-advance-responsible-artificial-intelligence-research-development-and-deployment/,5
"Final Report | PCSCOTUS | The White House",https://www.whitehouse.gov/wp-content/uploads/2021/12/SCOTUS-Report-Final-12.8.21-1.pdf,whitehouse.gov/pcscotus/final-report/,5
"Get Internet | The White House",https://acpbenefit.org/wp-content/uploads/lifeline/images/ACP-Household-Worksheet-Spanish.pdf,whitehouse.gov/getinternet/,5
Government Use of AI - AI.gov,https://www.commerce.gov/sites/default/files/2022-09/DOC_AI_Use_Case_Inventory.pdf,ai.gov/ai-use-cases/,5
Government Use of AI - AI.gov,https://www.energy.gov/sites/default/files/2023-07/DOE_2023_AI_Use_Case_Inventory_0.pdf,ai.gov/ai-use-cases/,5
