date,page_title,event_label,file_name,page,total_events
2024-01-04,Maps - Rocky Mountain National Park (U.S. National Park Service),file_download,/romo/planyourvisit/upload/ROMO_UnigridBrochure_2022.pdf,www.nps.gov/romo/planyourvisit/maps.htm,51
2024-01-04,"Regional Offices | Indian Affairs",file_download,/sites/default/files/dup/inline-files/idc1-028635.pdf,www.bia.gov/regional-offices,51
2024-01-04,Watchman Campground - Zion National Park (U.S. National Park Service),file_download,/zion/planyourvisit/upload/3-28-Watchman-Regulations-Handout-8-5x14-2.pdf,www.nps.gov/zion/planyourvisit/watchman-campground.htm,49
2024-01-04,Maps - Rocky Mountain National Park (U.S. National Park Service),file_download,/romo/planyourvisit/upload/Bear-Lake-Summer-Trail-Guide-2017-digital.pdf,www.nps.gov/romo/planyourvisit/maps.htm,48
2024-01-04,Plan Your Visit - Great Sand Dunes National Park & Preserve (U.S. National Park Service),file_download,/grsa/planyourvisit/upload/visitor-guide-updated-dec2022-web-508.pdf,www.nps.gov/grsa/planyourvisit/index.htm,48
2024-01-04,Maps - Canyonlands National Park (U.S. National Park Service),file_download,/cany/planyourvisit/upload/NeedlesTrailsandRoads2022_WSfixed.pdf,www.nps.gov/cany/planyourvisit/maps.htm,46
2024-01-04,"Southeast Louisiana Refuges Annual User Brochure and Regulations | FWS.gov",file_download,/sites/default/files/documents/southeast-louisiana-refuges-public-use-regulations_3.pdf,www.fws.gov/media/southeast-louisiana-refuges-annual-user-brochure-and-regulations,46
2024-01-04,"Ash Meadows NWR Amargosa Pupfish | FWS.gov",file_download,/sites/default/files/banner_images/2021-08/dsc_8435_edited-1.jpg,www.fws.gov/media/150852,45
2024-01-04,Hiking Lake McDonald - Glacier National Park (U.S. National Park Service),file_download,/glac/planyourvisit/upload/McDonald-Valley-2.pdf,www.nps.gov/glac/planyourvisit/hikinglakemcdonald.htm,45
2024-01-04,Maps - Canyonlands National Park (U.S. National Park Service),file_download,/cany/planyourvisit/upload/IslandRoadsandTrails2022_forweb.pdf,www.nps.gov/cany/planyourvisit/maps.htm,45
2024-01-04,Maps - Great Smoky Mountains National Park (U.S. National Park Service),file_download,/grsm/planyourvisit/upload/GRSMmap2.pdf,www.nps.gov/grsm/planyourvisit/maps.htm,45
2024-01-04,Backcountry Camping - Grand Teton National Park (U.S. National Park Service),file_download,/grte/planyourvisit/upload/grte_backcountry_map_2012.jpg,www.nps.gov/grte/planyourvisit/back.htm,44
2024-01-04,Hike - Muir Woods National Monument (U.S. National Park Service),file_download,/muwo/upload/MuWo_Map_web-jpg.pdf,www.nps.gov/muwo/planyourvisit/hike.htm,44
2024-01-04,Junior Ranger Park Explorer - Health & Safety (U.S. National Park Service),file_download,/subjects/healthandsafety/upload/Jr-Ranger-Park-Explorer-book-FINAL-March-2022.pdf,www.nps.gov/subjects/healthandsafety/junior-ranger-park-explorer.htm,44
2024-01-04,Maps - White Sands National Park (U.S. National Park Service),file_download,/whsa/planyourvisit/upload/1-Dunes_Drive_with_Blackband_NP.pdf,www.nps.gov/whsa/planyourvisit/maps.htm,44
2024-01-04,Visiting in Winter - Bryce Canyon National Park (U.S. National Park Service),file_download,/brca/planyourvisit/upload/Web-Winter-Map-01.jpg,www.nps.gov/brca/planyourvisit/winter.htm,44
2024-01-04,Webcams - Olympic National Park (U.S. National Park Service),file_download,/dnc-kalaloch/kalaloch.jpg,www.nps.gov/olym/learn/photosmultimedia/webcams.htm,44
2024-01-04,Park Newspaper and Visitor Guide - Redwood National and State Parks (U.S. National Park Service),file_download,/redw/planyourvisit/upload/RNSP_VG_2022-v5-13-small-508-2.pdf,www.nps.gov/redw/learn/news/newspaper.htm,43
2024-01-04,Hike - Muir Woods National Monument (U.S. National Park Service),file_download,/pages/471/files/MountTamalpaisSPFinalWebLayout110816.pdf,www.nps.gov/muwo/planyourvisit/hike.htm,42
2024-01-04,Hiking Many Glacier - Glacier National Park (U.S. National Park Service),file_download,/glac/planyourvisit/upload/Many-Glacier.pdf,www.nps.gov/glac/planyourvisit/hikingmanyglacier.htm,42
2024-01-04,"Note to Banders, January 2024 | U.S. Geological Survey",file_download,/assets/palladium/production/s3fs-public/media/files/notetobander2023highlights.pdf,www.usgs.gov/media/files/note-banders-january-2024,41
2024-01-04,The Secretary of the Interior's Standards for the Treatment of Historic Properties - Technical Preservation Services (U.S. National Park Service),file_download,/orgs/1739/upload/treatment-guidelines-2017-part1-preservation-rehabilitation.pdf,www.nps.gov/orgs/1739/secretary-standards-treatment-historic-properties.htm,41
2024-01-04,"Copper Statistics and Information | U.S. Geological Survey",file_download,/periodicals/mcs2023/mcs2023-copper.pdf,www.usgs.gov/centers/national-minerals-information-center/copper-statistics-and-information,40
