date,os,visits
2023-11-21,Windows,38893
2023-11-21,iOS,21315
2023-11-21,Macintosh,13588
2023-11-21,Android,9436
2023-11-21,Linux,3092
2023-11-21,Chrome OS,1358
2023-11-20,Windows,39744
2023-11-20,iOS,20960
2023-11-20,Macintosh,14190
2023-11-20,Android,9265
2023-11-20,Linux,3256
2023-11-20,Chrome OS,1588
2023-11-19,iOS,16382
2023-11-19,Windows,13012
2023-11-19,Macintosh,7816
2023-11-19,Android,7316
2023-11-19,Linux,3065
2023-11-19,Chrome OS,748
2023-11-18,iOS,16865
2023-11-18,Windows,12266
2023-11-18,Android,7394
2023-11-18,Macintosh,6880
2023-11-18,Linux,3099
2023-11-18,Chrome OS,640
2023-11-17,Windows,34672
2023-11-17,iOS,20937
2023-11-17,Macintosh,11895
2023-11-17,Android,8938
2023-11-17,Linux,3259
2023-11-17,Chrome OS,1585
2023-11-16,Windows,41772
2023-11-16,iOS,23292
2023-11-16,Macintosh,14300
2023-11-16,Android,9572
2023-11-16,Linux,3266
2023-11-16,Chrome OS,2097
2023-11-15,Windows,43983
2023-11-15,iOS,25296
2023-11-15,Macintosh,15215
2023-11-15,Android,10201
2023-11-15,Linux,3288
2023-11-15,Chrome OS,2278
2023-11-15,(not set),165
2023-11-14,Windows,44550
2023-11-14,iOS,25269
2023-11-14,Macintosh,16012
2023-11-14,Android,10195
2023-11-14,Linux,3286
2023-11-14,Chrome OS,2431
2023-11-13,Windows,43719
2023-11-13,iOS,24167
2023-11-13,Macintosh,16208
2023-11-13,Android,9894
2023-11-13,Linux,3151
2023-11-13,Chrome OS,2265
2023-11-12,iOS,17670
2023-11-12,Windows,13728
2023-11-12,Android,7606
2023-11-12,Macintosh,7591
2023-11-12,Linux,2971
2023-11-12,Chrome OS,889
2023-11-11,iOS,17114
2023-11-11,Windows,11891
2023-11-11,Android,7233
2023-11-11,Macintosh,6380
2023-11-11,Linux,2996
2023-11-11,Chrome OS,676
2023-11-10,Windows,29413
2023-11-10,iOS,20632
2023-11-10,Macintosh,11287
2023-11-10,Android,8874
2023-11-10,Linux,3069
2023-11-10,Chrome OS,1478
2023-11-09,Windows,39742
2023-11-09,iOS,25457
2023-11-09,Macintosh,14258
2023-11-09,Android,10587
2023-11-09,Linux,3130
2023-11-09,Chrome OS,2153
2023-11-08,Windows,42782
2023-11-08,iOS,26307
2023-11-08,Macintosh,15276
2023-11-08,Android,10823
2023-11-08,Linux,3777
2023-11-08,Chrome OS,2144
2023-11-07,Windows,44739
2023-11-07,iOS,26027
2023-11-07,Macintosh,16074
2023-11-07,Android,11001
2023-11-07,Linux,3092
2023-11-07,Chrome OS,1803
2023-11-06,Windows,31330
2023-11-06,iOS,16138
2023-11-06,Macintosh,12018
2023-11-06,Android,7013
2023-11-06,Linux,1653
2023-11-06,Chrome OS,1284
2023-11-05,Windows,1662
2023-11-05,Macintosh,972
2023-11-05,iOS,937
2023-11-05,Android,546
2023-11-05,Chrome OS,147
2023-11-04,Windows,1362
2023-11-04,iOS,915
2023-11-04,Macintosh,775
2023-11-04,Android,549
2023-11-04,Chrome OS,123
2023-11-03,Windows,6036
2023-11-03,Macintosh,1801
2023-11-03,iOS,1081
2023-11-03,Android,599
2023-11-03,Chrome OS,132
2023-11-02,Windows,6362
2023-11-02,Macintosh,2145
2023-11-02,iOS,1328
2023-11-02,Android,692
2023-11-02,Chrome OS,136
2023-11-01,Windows,6567
2023-11-01,Macintosh,2152
2023-11-01,iOS,1303
2023-11-01,Android,652
2023-11-01,Chrome OS,156
2023-11-01,Linux,111
2023-10-31,Windows,6734
2023-10-31,Macintosh,2290
2023-10-31,iOS,1191
2023-10-31,Android,613
2023-10-31,Linux,108
2023-10-30,Windows,6715
2023-10-30,Macintosh,2184
2023-10-30,iOS,1241
2023-10-30,Android,671
2023-10-30,Linux,115
2023-10-29,Windows,1566
2023-10-29,iOS,936
2023-10-29,Macintosh,908
2023-10-29,Android,508
2023-10-28,Windows,1277
2023-10-28,iOS,797
2023-10-28,Macintosh,679
2023-10-28,Android,486
2023-10-27,Windows,6045
2023-10-27,Macintosh,1743
2023-10-27,iOS,1052
2023-10-27,Android,554
2023-10-26,Windows,6477
2023-10-26,Macintosh,1951
2023-10-26,iOS,1254
2023-10-26,Android,658
2023-10-25,Windows,6650
2023-10-25,Macintosh,2119
2023-10-25,iOS,1215
2023-10-25,Android,611
2023-10-25,Linux,110
2023-10-24,Windows,6358
2023-10-24,Macintosh,2067
2023-10-24,iOS,1226
2023-10-24,Android,588
2023-10-24,Chrome OS,111
2023-10-24,Linux,101
2023-10-23,Windows,6086
2023-10-23,Macintosh,2034
2023-10-23,iOS,1093
2023-10-23,Android,551
2023-10-23,Chrome OS,110
2023-10-23,Linux,103
2023-10-22,Windows,1498
2023-10-22,Macintosh,837
2023-10-22,iOS,784
2023-10-22,Android,441
2023-10-22,Chrome OS,117
2023-10-21,Windows,1980
2023-10-21,Macintosh,800
2023-10-21,iOS,767
2023-10-21,Android,426
2023-10-21,Chrome OS,177
2023-10-20,Windows,6039
2023-10-20,Macintosh,1681
2023-10-20,iOS,1103
2023-10-20,Android,530
2023-10-20,Chrome OS,131
2023-10-19,Windows,6269
2023-10-19,Macintosh,1890
2023-10-19,iOS,1247
2023-10-19,Android,550
2023-10-19,Chrome OS,124
2023-10-19,Linux,106
2023-10-18,Windows,6654
2023-10-18,Macintosh,2194
2023-10-18,iOS,1271
2023-10-18,Android,626
2023-10-18,Linux,112
2023-10-17,Windows,6931
2023-10-17,Macintosh,2416
2023-10-17,iOS,1347
2023-10-17,Android,614
2023-10-17,Linux,113
2023-10-16,Windows,6654
2023-10-16,Macintosh,2316
2023-10-16,iOS,1180
2023-10-16,Android,569
2023-10-16,Linux,137
2023-10-15,Windows,1673
2023-10-15,iOS,928
2023-10-15,Macintosh,894
2023-10-15,Android,423
2023-10-14,Windows,1367
2023-10-14,Macintosh,946
2023-10-14,iOS,817
2023-10-14,Android,421
2023-10-13,Windows,5935
2023-10-13,Macintosh,1655
2023-10-13,iOS,1062
2023-10-13,Android,510
2023-10-13,Linux,190
2023-10-12,Windows,6202
2023-10-12,Macintosh,1889
2023-10-12,iOS,1290
2023-10-12,Android,525
2023-10-12,Linux,251
2023-10-11,Windows,6452
2023-10-11,Macintosh,2038
2023-10-11,iOS,1214
2023-10-11,Android,598
2023-10-10,Windows,6526
2023-10-10,Macintosh,2004
2023-10-10,iOS,1225
2023-10-10,Android,537
2023-10-10,(not set),243
2023-10-10,Linux,110
2023-10-09,Windows,4848
2023-10-09,Macintosh,1685
2023-10-09,iOS,1123
2023-10-09,Android,527
2023-10-08,Windows,1402
2023-10-08,Macintosh,751
2023-10-08,iOS,739
2023-10-08,Android,434
2023-10-07,Windows,1284
2023-10-07,iOS,851
2023-10-07,Macintosh,698
2023-10-07,Android,423
