date,language,visits
2023-12-29,Danish,260
2023-12-29,Czech,259
2023-12-29,Finnish,249
2023-12-29,Hungarian,247
2023-12-29,Persian,204
2023-12-29,Greek,196
2023-12-29,Croatian,131
2023-12-29,Hindi,124
2023-12-29,Hebrew,123
2023-12-29,Georgian,112
2023-12-29,Ukrainian,111
2023-12-29,Slovak,103
2023-12-29,Thai,102
2023-12-29,Bulgarian,86
2023-12-29,Serbian,68
2023-12-29,(other),59
2023-12-29,Slovenian,52
2023-12-29,Panjabi,50
2023-12-29,Catalan,49
2023-12-29,Malay,49
2023-12-29,Uzbek,46
2023-12-29,Lithuanian,40
2023-12-29,Azerbaijani,39
2023-12-29,Bengali,39
2023-12-29,Estonian,33
2023-12-29,Bosnian,26
2023-12-29,Gujarati,24
2023-12-29,Latvian,23
2023-12-29,Albanian,21
2023-12-29,Marathi,18
2023-12-29,Nepali,14
2023-12-29,Telugu,14
2023-12-29,Tamil,13
2023-12-29,Amharic,11
2023-12-28,English,789700
2023-12-28,Spanish,41540
2023-12-28,Chinese,5481
2023-12-28,French,4428
2023-12-28,Russian,3855
2023-12-28,Portuguese,2222
2023-12-28,German,1812
2023-12-28,Turkish,1452
2023-12-28,Arabic,1125
2023-12-28,Italian,710
2023-12-28,Dutch,653
2023-12-28,Polish,566
2023-12-28,Japanese,521
2023-12-28,Swedish,513
2023-12-28,Korean,476
2023-12-28,Hungarian,392
2023-12-28,Indonesian,387
2023-12-28,Norwegian Bokmål,328
2023-12-28,Romanian,317
2023-12-28,Vietnamese,303
2023-12-28,Finnish,288
2023-12-28,Danish,285
2023-12-28,Czech,281
2023-12-28,Greek,233
2023-12-28,Persian,225
2023-12-28,Hebrew,161
2023-12-28,Thai,140
2023-12-28,Hindi,134
2023-12-28,Ukrainian,132
2023-12-28,Georgian,131
2023-12-28,Croatian,115
2023-12-28,Slovak,106
2023-12-28,Serbian,82
2023-12-28,Bulgarian,76
2023-12-28,(other),68
2023-12-28,Panjabi,66
2023-12-28,Slovenian,64
2023-12-28,Uzbek,60
2023-12-28,Catalan,51
2023-12-28,Malay,49
2023-12-28,Lithuanian,40
2023-12-28,Estonian,31
2023-12-28,Azerbaijani,30
2023-12-28,Latvian,24
2023-12-28,Bengali,23
2023-12-28,Telugu,20
2023-12-28,Bosnian,18
2023-12-28,Albanian,17
2023-12-28,Gujarati,16
2023-12-28,Marathi,14
2023-12-28,Kannada,12
2023-12-28,Macedonian,12
2023-12-28,Nepali,11
2023-12-27,English,754392
2023-12-27,Spanish,44340
2023-12-27,Chinese,5699
2023-12-27,French,4383
2023-12-27,Russian,3769
2023-12-27,Portuguese,2478
2023-12-27,German,1942
2023-12-27,Turkish,1394
2023-12-27,Arabic,1260
2023-12-27,Hungarian,772
2023-12-27,Japanese,711
2023-12-27,Dutch,702
2023-12-27,Italian,679
2023-12-27,Korean,582
2023-12-27,Swedish,542
2023-12-27,Polish,538
2023-12-27,Indonesian,478
2023-12-27,Vietnamese,319
2023-12-27,Norwegian Bokmål,285
2023-12-27,Danish,280
2023-12-27,Finnish,274
2023-12-27,Romanian,271
2023-12-27,Persian,249
2023-12-27,Czech,235
2023-12-27,Greek,230
2023-12-27,Hebrew,177
2023-12-27,Ukrainian,164
2023-12-27,Hindi,153
2023-12-27,Thai,132
2023-12-27,Georgian,129
2023-12-27,Slovak,125
2023-12-27,Croatian,120
2023-12-27,(other),78
2023-12-27,Serbian,77
2023-12-27,Panjabi,72
2023-12-27,Slovenian,72
2023-12-27,Uzbek,61
2023-12-27,Lithuanian,56
2023-12-27,Bulgarian,55
2023-12-27,Catalan,53
2023-12-27,Malay,53
2023-12-27,Azerbaijani,42
