date,browser,os,visits
2023-12-28,Opera,Windows,968
2023-12-28,Opera,Android,926
2023-12-28,Edge,Android,536
2023-12-28,Amazon Silk,Android,535
2023-12-28,UC Browser,Android,425
2023-12-28,Internet Explorer,Windows,403
2023-12-28,Edge,Macintosh,183
2023-12-28,Edge,Linux,164
2023-12-28,Mozilla Compatible Agent,Macintosh,159
2023-12-28,Samsung Internet,Linux,147
2023-12-27,Chrome,Windows,246872
2023-12-27,Safari,iOS,192821
2023-12-27,Chrome,Android,121593
2023-12-27,Chrome,Linux,104421
2023-12-27,Edge,Windows,57978
2023-12-27,Chrome,iOS,26597
2023-12-27,Safari,Macintosh,22811
2023-12-27,Chrome,Macintosh,22054
2023-12-27,Samsung Internet,Android,8939
2023-12-27,Firefox,Windows,8098
2023-12-27,Safari (in-app),iOS,8066
2023-12-27,Android Webview,Android,7457
2023-12-27,Chrome,Chrome OS,4224
2023-12-27,Firefox,Linux,1731
2023-12-27,Firefox,Macintosh,1158
2023-12-27,Firefox,Android,1143
2023-12-27,(not set),(not set),1103
2023-12-27,Opera,Android,1086
2023-12-27,Opera,Windows,935
2023-12-27,UC Browser,Android,723
2023-12-27,Amazon Silk,Android,522
2023-12-27,Edge,Android,426
2023-12-27,Internet Explorer,Windows,396
2023-12-27,Edge,Macintosh,197
2023-12-27,Edge,Linux,175
2023-12-27,Mozilla Compatible Agent,Macintosh,169
2023-12-27,Samsung Internet,Linux,168
2023-12-27,Opera Mini,(not set),109
2023-12-26,Safari,iOS,179245
2023-12-26,Chrome,Windows,177618
2023-12-26,Chrome,Android,112570
2023-12-26,Chrome,Linux,99347
2023-12-26,Edge,Windows,43216
2023-12-26,Chrome,iOS,25128
2023-12-26,Safari,Macintosh,20243
2023-12-26,Chrome,Macintosh,19232
2023-12-26,Safari (in-app),iOS,8192
2023-12-26,Samsung Internet,Android,8098
2023-12-26,Android Webview,Android,7056
2023-12-26,Firefox,Windows,6659
2023-12-26,Chrome,Chrome OS,3685
2023-12-26,Firefox,Linux,2520
2023-12-26,(not set),(not set),1465
2023-12-26,Opera,Android,1108
2023-12-26,Firefox,Macintosh,1037
2023-12-26,Opera,Windows,1011
2023-12-26,Firefox,Android,992
2023-12-26,UC Browser,Android,728
2023-12-26,Internet Explorer,Windows,522
2023-12-26,Edge,Android,498
2023-12-26,Amazon Silk,Android,470
2023-12-26,Edge,Macintosh,202
2023-12-26,Mozilla Compatible Agent,Macintosh,181
2023-12-26,Edge,Linux,171
2023-12-26,Samsung Internet,Linux,161
2023-12-25,Safari,iOS,138618
2023-12-25,Chrome,Android,94008
2023-12-25,Chrome,Windows,66309
2023-12-25,Chrome,Linux,37753
2023-12-25,Chrome,iOS,19524
2023-12-25,Safari,Macintosh,11867
2023-12-25,Edge,Windows,11282
2023-12-25,Chrome,Macintosh,7494
2023-12-25,Android Webview,Android,6744
2023-12-25,Samsung Internet,Android,6645
2023-12-25,Safari (in-app),iOS,6600
2023-12-25,Firefox,Windows,3459
2023-12-25,Chrome,Chrome OS,2364
2023-12-25,Internet Explorer,Windows,1884
2023-12-25,Opera,Android,1059
2023-12-25,(not set),(not set),871
2023-12-25,Firefox,Android,870
2023-12-25,Opera,Windows,702
2023-12-25,UC Browser,Android,690
2023-12-25,Firefox,Macintosh,496
2023-12-25,Firefox,Linux,449
2023-12-25,Amazon Silk,Android,385
2023-12-25,Edge,Android,330
2023-12-25,Samsung Internet,Linux,141
2023-12-25,Mozilla Compatible Agent,Macintosh,122
2023-12-24,Safari,iOS,138403
2023-12-24,Chrome,Android,93324
2023-12-24,Chrome,Windows,80375
2023-12-24,Chrome,Linux,41571
2023-12-24,Chrome,iOS,19578
2023-12-24,Safari,Macintosh,12522
2023-12-24,Edge,Windows,11947
2023-12-24,Chrome,Macintosh,8240
2023-12-24,Android Webview,Android,7267
2023-12-24,Safari (in-app),iOS,7065
2023-12-24,Samsung Internet,Android,6604
2023-12-24,Firefox,Windows,5559
2023-12-24,Chrome,Chrome OS,2446
2023-12-24,Opera,Android,1086
2023-12-24,Firefox,Android,912
2023-12-24,UC Browser,Android,816
2023-12-24,(not set),(not set),791
2023-12-24,Opera,Windows,690
2023-12-24,Firefox,Macintosh,559
2023-12-24,Firefox,Linux,493
2023-12-24,Amazon Silk,Android,364
2023-12-24,Edge,Android,343
2023-12-24,Mozilla Compatible Agent,Macintosh,122
2023-12-24,Samsung Internet,Linux,113
2023-12-24,Opera Mini,(not set),110
2023-12-23,Safari,iOS,164380
2023-12-23,Chrome,Windows,118503
2023-12-23,Chrome,Android,105419
2023-12-23,Chrome,Linux,49903
2023-12-23,Chrome,iOS,21869
2023-12-23,Safari,Macintosh,16338
2023-12-23,Edge,Windows,14926
2023-12-23,Chrome,Macintosh,10141
2023-12-23,Safari (in-app),iOS,8644
2023-12-23,Android Webview,Android,7901
2023-12-23,Samsung Internet,Android,7801
2023-12-23,Firefox,Windows,4207
2023-12-23,Chrome,Chrome OS,2835
2023-12-23,Opera,Android,1122
2023-12-23,(not set),(not set),1105
2023-12-23,Firefox,Android,1013
2023-12-23,Firefox,Linux,889
2023-12-23,Opera,Windows,858
2023-12-23,Firefox,Macintosh,801
2023-12-23,UC Browser,Android,755
2023-12-23,Amazon Silk,Android,511
2023-12-23,Edge,Android,408
2023-12-23,Mozilla Compatible Agent,Macintosh,133
2023-12-23,Samsung Internet,Linux,127
2023-12-23,(not set),iOS,121
2023-12-23,Opera Mini,(not set),107
2023-12-22,Chrome,Windows,258609
2023-12-22,Safari,iOS,195075
2023-12-22,Chrome,Android,117490
2023-12-22,Chrome,Linux,91209
2023-12-22,Edge,Windows,47873
2023-12-22,Chrome,iOS,25401
2023-12-22,Safari,Macintosh,23296
2023-12-22,Chrome,Macintosh,21837
2023-12-22,Safari (in-app),iOS,9888
2023-12-22,Android Webview,Android,9674
2023-12-22,Samsung Internet,Android,8502
2023-12-22,Firefox,Windows,7557
2023-12-22,Chrome,Chrome OS,6110
2023-12-22,(not set),iOS,2127
2023-12-22,Firefox,Linux,1502
2023-12-22,Firefox,Macintosh,1253
2023-12-22,Firefox,Android,1116
2023-12-22,Opera,Android,1049
2023-12-22,Opera,Windows,1010
2023-12-22,(not set),(not set),981
2023-12-22,UC Browser,Android,718
2023-12-22,Amazon Silk,Android,564
2023-12-22,Edge,Android,557
2023-12-22,Internet Explorer,Windows,344
2023-12-22,Edge,Macintosh,185
2023-12-22,Android Runtime,Android,180
2023-12-22,Mozilla Compatible Agent,Macintosh,139
2023-12-22,Samsung Internet,Linux,132
2023-12-22,Edge,Linux,119
2023-12-22,Opera Mini,(not set),107
2023-12-21,Chrome,Windows,281905
2023-12-21,Safari,iOS,197807
2023-12-21,Chrome,Linux,126686
2023-12-21,Chrome,Android,111096
2023-12-21,Edge,Windows,65730
2023-12-21,Chrome,Macintosh,28279
2023-12-21,Chrome,iOS,26085
2023-12-21,Safari,Macintosh,25427
2023-12-21,Chrome,Chrome OS,11165
2023-12-21,Safari (in-app),iOS,10038
2023-12-21,Firefox,Windows,9138
2023-12-21,Samsung Internet,Android,8626
2023-12-21,Android Webview,Android,8611
2023-12-21,Firefox,Linux,1865
2023-12-21,Firefox,Macintosh,1457
2023-12-21,(not set),(not set),1112
2023-12-21,Opera,Windows,1111
2023-12-21,Firefox,Android,1038
2023-12-21,Opera,Android,881
2023-12-21,Amazon Silk,Android,575
2023-12-21,Edge,Android,482
2023-12-21,Internet Explorer,Windows,468
2023-12-21,UC Browser,Android,460
2023-12-21,Edge,Macintosh,277
2023-12-21,Samsung Internet,Linux,169
2023-12-21,Mozilla Compatible Agent,Macintosh,167
2023-12-21,Edge,Linux,157
2023-12-20,Chrome,Windows,268375
2023-12-20,Safari,iOS,202765
2023-12-20,Chrome,Linux,144595
2023-12-20,Chrome,Android,117022
2023-12-20,Edge,Windows,75046
2023-12-20,Chrome,Macintosh,34363
2023-12-20,Safari,Macintosh,27472
2023-12-20,Chrome,iOS,26351
2023-12-20,Chrome,Chrome OS,16009
2023-12-20,Firefox,Windows,10294
2023-12-20,Safari (in-app),iOS,9667
2023-12-20,Samsung Internet,Android,8871
2023-12-20,Android Webview,Android,8011
2023-12-20,Firefox,Linux,1783
2023-12-20,Firefox,Macintosh,1653
2023-12-20,(not set),(not set),1170
2023-12-20,Opera,Windows,1158
2023-12-20,Firefox,Android,1025
2023-12-20,Opera,Android,898
2023-12-20,Internet Explorer,Windows,532
2023-12-20,Edge,Android,525
2023-12-20,Amazon Silk,Android,452
2023-12-20,UC Browser,Android,452
2023-12-20,Edge,Linux,288
2023-12-20,Edge,Macintosh,247
2023-12-20,Samsung Internet,Linux,169
2023-12-20,Mozilla Compatible Agent,Macintosh,164
2023-12-20,YaBrowser,Windows,109
2023-12-19,Chrome,Windows,266415
2023-12-19,Safari,iOS,213340
2023-12-19,Chrome,Linux,131766
2023-12-19,Chrome,Android,120647
2023-12-19,Edge,Windows,83724
2023-12-19,Chrome,Macintosh,36942
2023-12-19,Safari,Macintosh,30033
2023-12-19,Chrome,iOS,27367
2023-12-19,Chrome,Chrome OS,20209
2023-12-19,Safari (in-app),iOS,11034
2023-12-19,Firefox,Windows,10980
2023-12-19,Samsung Internet,Android,9092
2023-12-19,Android Webview,Android,7921
2023-12-19,Firefox,Linux,1705
2023-12-19,Firefox,Macintosh,1681
2023-12-19,Opera,Windows,1152
2023-12-19,(not set),(not set),1138
2023-12-19,Firefox,Android,1044
2023-12-19,Opera,Android,905
2023-12-19,Edge,Android,583
2023-12-19,Internet Explorer,Windows,582
2023-12-19,Amazon Silk,Android,523
2023-12-19,UC Browser,Android,483
2023-12-19,Edge,Macintosh,310
2023-12-19,Edge,Linux,282
2023-12-19,Mozilla Compatible Agent,Macintosh,174
2023-12-19,Samsung Internet,Linux,155
2023-12-19,YaBrowser,Windows,121
2023-12-19,Opera Mini,(not set),115
2023-12-19,Opera,Macintosh,102
2023-12-18,Chrome,Windows,261867
2023-12-18,Safari,iOS,199373
2023-12-18,Chrome,Linux,146394
2023-12-18,Chrome,Android,117755
2023-12-18,Edge,Windows,79479
2023-12-18,Chrome,Macintosh,38035
2023-12-18,Safari,Macintosh,31202
2023-12-18,Chrome,iOS,25891
2023-12-18,Chrome,Chrome OS,22256
2023-12-18,Firefox,Windows,12454
2023-12-18,Safari (in-app),iOS,9592
2023-12-18,Samsung Internet,Android,9017
2023-12-18,Android Webview,Android,6045
2023-12-18,Firefox,Linux,1742
2023-12-18,Firefox,Macintosh,1688
2023-12-18,Opera,Windows,1232
2023-12-18,(not set),(not set),1229
2023-12-18,Firefox,Android,1038
2023-12-18,Opera,Android,949
2023-12-18,Amazon Silk,Android,542
2023-12-18,Internet Explorer,Windows,528
2023-12-18,Edge,Android,500
2023-12-18,UC Browser,Android,438
2023-12-18,Edge,Linux,401
2023-12-18,Edge,Macintosh,239
2023-12-18,Mozilla Compatible Agent,Macintosh,205
2023-12-18,Samsung Internet,Linux,188
2023-12-18,YaBrowser,Windows,126
2023-12-18,Opera Mini,(not set),117
2023-12-17,Safari,iOS,165784
2023-12-17,Chrome,Android,103673
2023-12-17,Chrome,Windows,69816
2023-12-17,Chrome,Linux,65955
2023-12-17,Chrome,iOS,22128
2023-12-17,Safari,Macintosh,21857
2023-12-17,Edge,Windows,19343
2023-12-17,Chrome,Macintosh,18271
2023-12-17,Safari (in-app),iOS,8690
2023-12-17,Samsung Internet,Android,7675
2023-12-17,Chrome,Chrome OS,6886
2023-12-17,Android Webview,Android,5107
2023-12-17,Firefox,Windows,4407
2023-12-17,Edge,Linux,1434
2023-12-17,Opera,Windows,1085
2023-12-17,Opera,Android,973
2023-12-17,Firefox,Macintosh,920
2023-12-17,Firefox,Android,880
2023-12-17,(not set),(not set),869
2023-12-17,Firefox,Linux,824
2023-12-17,UC Browser,Android,488
2023-12-17,Amazon Silk,Android,479
2023-12-17,Edge,Android,404
2023-12-17,Samsung Internet,Linux,178
2023-12-17,Mozilla Compatible Agent,Macintosh,165
2023-12-17,Edge,Macintosh,108
2023-12-16,Safari,iOS,191893
2023-12-16,Chrome,Android,117143
2023-12-16,Chrome,Windows,81702
2023-12-16,Chrome,Linux,56062
2023-12-16,Chrome,iOS,25427
2023-12-16,Safari,Macintosh,22856
2023-12-16,Edge,Windows,18510
2023-12-16,Chrome,Macintosh,16308
2023-12-16,Safari (in-app),iOS,9145
2023-12-16,Samsung Internet,Android,9050
2023-12-16,Chrome,Chrome OS,5206
2023-12-16,Android Webview,Android,4645
2023-12-16,Firefox,Windows,4537
2023-12-16,Edge,Linux,3502
2023-12-16,Firefox,Macintosh,993
2023-12-16,Opera,Windows,964
2023-12-16,Opera,Android,939
2023-12-16,(not set),(not set),905
2023-12-16,Firefox,Android,888
2023-12-16,Firefox,Linux,866
2023-12-16,UC Browser,Android,515
2023-12-16,Amazon Silk,Android,496
2023-12-16,Edge,Android,442
2023-12-16,Samsung Internet,Linux,189
2023-12-16,Mozilla Compatible Agent,Macintosh,172
2023-12-16,Edge,Macintosh,114
2023-12-15,Safari,iOS,265952
2023-12-15,Chrome,Windows,246927
2023-12-15,Chrome,Android,154105
2023-12-15,Chrome,Linux,122118
2023-12-15,Edge,Windows,68774
2023-12-15,Safari,Macintosh,42488
2023-12-15,Chrome,Macintosh,37478
2023-12-15,Chrome,iOS,32746
2023-12-15,Chrome,Chrome OS,24654
2023-12-15,Samsung Internet,Android,11902
2023-12-15,Safari (in-app),iOS,11559
2023-12-15,Firefox,Windows,10610
2023-12-15,Android Webview,Android,7131
2023-12-15,Edge,Linux,3585
2023-12-15,Firefox,Macintosh,1996
2023-12-15,Firefox,Linux,1423
2023-12-15,Opera,Windows,1334
2023-12-15,Firefox,Android,1249
2023-12-15,(not set),(not set),1171
2023-12-15,Opera,Android,976
2023-12-15,Edge,Android,643
2023-12-15,Amazon Silk,Android,599
2023-12-15,UC Browser,Android,436
2023-12-15,Internet Explorer,Windows,425
2023-12-15,Mozilla Compatible Agent,Macintosh,250
2023-12-15,Edge,Macintosh,220
2023-12-15,Samsung Internet,Linux,204
2023-12-15,Opera Mini,(not set),121
2023-12-14,Chrome,Windows,293977
2023-12-14,Safari,iOS,222890
2023-12-14,Chrome,Linux,143133
2023-12-14,Chrome,Android,130849
2023-12-14,Edge,Windows,81964
2023-12-14,Chrome,Macintosh,45374
2023-12-14,Safari,Macintosh,37206
2023-12-14,Chrome,Chrome OS,29478
2023-12-14,Chrome,iOS,28206
2023-12-14,Firefox,Windows,10926
2023-12-14,Safari (in-app),iOS,10614
2023-12-14,Samsung Internet,Android,9590
2023-12-14,Android Webview,Android,6655
2023-12-14,Edge,Linux,2282
2023-12-14,Firefox,Macintosh,1883
2023-12-14,Firefox,Linux,1723
2023-12-14,Opera,Windows,1484
2023-12-14,(not set),(not set),1195
2023-12-14,Firefox,Android,1133
2023-12-14,Opera,Android,1034
2023-12-14,Edge,Android,614
2023-12-14,UC Browser,Android,528
2023-12-14,Amazon Silk,Android,519
2023-12-14,Internet Explorer,Windows,491
2023-12-14,Edge,Macintosh,296
2023-12-14,Mozilla Compatible Agent,Macintosh,187
2023-12-14,Samsung Internet,Linux,172
2023-12-14,Opera Mini,(not set),127
2023-12-14,Opera,Macintosh,110
2023-12-13,Chrome,Windows,243833
2023-12-13,Safari,iOS,217711
2023-12-13,Chrome,Linux,131209
2023-12-13,Chrome,Android,125532
2023-12-13,Edge,Windows,82894
2023-12-13,Chrome,Macintosh,46105
2023-12-13,Safari,Macintosh,37364
2023-12-13,Chrome,Chrome OS,31098
2023-12-13,Chrome,iOS,27790
2023-12-13,Safari (in-app),iOS,12501
2023-12-13,Firefox,Windows,11378
2023-12-13,Samsung Internet,Android,9778
2023-12-13,Android Webview,Android,7465
2023-12-13,Firefox,Macintosh,1850
2023-12-13,Firefox,Linux,1838
2023-12-13,Edge,Linux,1501
2023-12-13,Opera,Windows,1438
2023-12-13,(not set),(not set),1346
2023-12-13,Opera,Android,1048
2023-12-13,Firefox,Android,1005
2023-12-13,Edge,Android,604
2023-12-13,UC Browser,Android,544
2023-12-13,Internet Explorer,Windows,485
2023-12-13,Amazon Silk,Android,478
2023-12-13,Edge,Macintosh,288
2023-12-13,Samsung Internet,Linux,175
2023-12-13,Mozilla Compatible Agent,Macintosh,172
2023-12-13,Opera,Macintosh,107
2023-12-12,Chrome,Windows,243421
2023-12-12,Safari,iOS,203658
2023-12-12,Chrome,Linux,135002
2023-12-12,Chrome,Android,126798
2023-12-12,Edge,Windows,84169
2023-12-12,Chrome,Macintosh,48910
2023-12-12,Safari,Macintosh,38209
2023-12-12,Chrome,Chrome OS,33924
2023-12-12,Chrome,iOS,27459
2023-12-12,Firefox,Windows,13195
2023-12-12,Safari (in-app),iOS,10399
2023-12-12,Samsung Internet,Android,9126
2023-12-12,Android Webview,Android,6552
2023-12-12,Firefox,Linux,2355
2023-12-12,Firefox,Macintosh,2012
2023-12-12,Opera,Windows,1320
2023-12-12,(not set),(not set),1199
2023-12-12,Edge,Linux,1165
2023-12-12,Opera,Android,1031
2023-12-12,Firefox,Android,1017
2023-12-12,Edge,Android,598
2023-12-12,Internet Explorer,Windows,534
2023-12-12,UC Browser,Android,529
2023-12-12,Amazon Silk,Android,460
2023-12-12,Edge,Macintosh,328
2023-12-12,Mozilla Compatible Agent,Macintosh,184
2023-12-12,Samsung Internet,Linux,174
2023-12-12,YaBrowser,Windows,123
2023-12-11,Chrome,Windows,249574
2023-12-11,Safari,iOS,199664
2023-12-11,Chrome,Linux,169367
2023-12-11,Chrome,Android,123246
2023-12-11,Edge,Windows,84362
2023-12-11,Chrome,Macintosh,50528
2023-12-11,Safari,Macintosh,41150
2023-12-11,Chrome,Chrome OS,33823
2023-12-11,Chrome,iOS,26883
2023-12-11,Firefox,Windows,11212
2023-12-11,Samsung Internet,Android,8969
2023-12-11,Safari (in-app),iOS,8632
2023-12-11,Android Webview,Android,6126
2023-12-11,Firefox,Linux,2634
2023-12-11,Firefox,Macintosh,2113
2023-12-11,(not set),(not set),1540
2023-12-11,Opera,Windows,1330
2023-12-11,Opera,Android,1041
2023-12-11,Firefox,Android,1026
2023-12-11,UC Browser,Android,588
2023-12-11,Amazon Silk,Android,520
2023-12-11,Edge,Android,518
2023-12-11,Internet Explorer,Windows,509
2023-12-11,Edge,Macintosh,370
2023-12-11,Edge,Linux,356
2023-12-11,Mozilla Compatible Agent,Macintosh,195
2023-12-11,Samsung Internet,Linux,169
2023-12-11,YaBrowser,Windows,110
2023-12-10,Safari,iOS,166391
2023-12-10,Chrome,Android,106138
2023-12-10,Chrome,Windows,98453
2023-12-10,Chrome,Linux,57772
2023-12-10,Safari,Macintosh,30839
2023-12-10,Chrome,Macintosh,28524
2023-12-10,Edge,Windows,24083
2023-12-10,Chrome,iOS,21936
2023-12-10,Chrome,Chrome OS,9349
2023-12-10,Samsung Internet,Android,7500
2023-12-10,Safari (in-app),iOS,6961
2023-12-10,Android Webview,Android,5053
2023-12-10,Firefox,Windows,4195
2023-12-10,Firefox,Linux,1233
2023-12-10,Firefox,Macintosh,1210
2023-12-10,Opera,Windows,1186
2023-12-10,Opera,Android,1034
2023-12-10,(not set),(not set),971
2023-12-10,Firefox,Android,816
2023-12-10,UC Browser,Android,498
2023-12-10,Amazon Silk,Android,474
2023-12-10,Edge,Android,425
2023-12-10,Edge,Linux,311
2023-12-10,Samsung Internet,Linux,182
2023-12-10,Mozilla Compatible Agent,Macintosh,171
2023-12-10,Edge,Macintosh,153
2023-12-10,YaBrowser,Windows,108
2023-12-09,Safari,iOS,169698
2023-12-09,Chrome,Android,105668
2023-12-09,Chrome,Windows,103071
2023-12-09,Chrome,Linux,58064
2023-12-09,Safari,Macintosh,24598
2023-12-09,Chrome,iOS,22448
2023-12-09,Chrome,Macintosh,22361
2023-12-09,Edge,Windows,21209
2023-12-09,Samsung Internet,Android,7831
2023-12-09,Safari (in-app),iOS,7248
2023-12-09,Chrome,Chrome OS,6018
2023-12-09,Android Webview,Android,4694
2023-12-09,Firefox,Windows,4215
2023-12-09,Opera,Windows,1012
