date,language,visits
2023-12-23,Galician,169
2023-12-23,Urdu,162
2023-12-23,Corsican,138
2023-12-23,Irish,135
2023-12-23,Kannada,127
2023-12-23,Malayalam,127
2023-12-23,Mongolian,110
2023-12-23,Nepali,104
2023-12-23,Welsh,87
2023-12-23,Belarusian,84
2023-12-23,Somali,77
2023-12-23,Tonga,77
2023-12-23,Samoan,73
2023-12-23,Swahili,60
2023-12-23,Tagalog,49
2023-12-23,Lao,46
2023-12-23,Akan,45
2023-12-23,Tigrinya,43
2023-12-23,Gaelic,42
2023-12-23,Kazakh,42
2023-12-23,Yoruba,42
2023-12-23,Sinhala,39
2023-12-23,Haitian,36
2023-12-23,Norwegian,33
2023-12-23,Tibetan,31
2023-12-23,Igbo,30
2023-12-23,Oriya,27
2023-12-23,Pushto,26
2023-12-23,Ido,25
2023-12-23,Oromo,23
2023-12-23,Esperanto,22
2023-12-23,Assamese,21
2023-12-23,Norwegian Nynorsk,19
2023-12-23,Maori,18
2023-12-23,Divehi,16
2023-12-23,Maltese,15
2023-12-23,Ganda,14
2023-12-23,Faroese,13
2023-12-23,Kashmiri,11
2023-12-22,English,36519273
2023-12-22,Spanish,1871071
2023-12-22,Chinese,241489
2023-12-22,French,161890
2023-12-22,German,105612
2023-12-22,Russian,89187
2023-12-22,Portuguese,78470
2023-12-22,Japanese,78033
2023-12-22,Korean,52392
2023-12-22,Turkish,51670
2023-12-22,Italian,44987
2023-12-22,Arabic,31650
2023-12-22,Dutch,28703
2023-12-22,Vietnamese,22056
2023-12-22,Polish,20981
2023-12-22,Swedish,16669
2023-12-22,Indonesian,15841
2023-12-22,Ukrainian,13115
2023-12-22,Norwegian Bokmål,9592
2023-12-22,Danish,9043
2023-12-22,Thai,8821
2023-12-22,Greek,7595
2023-12-22,Czech,7364
2023-12-22,Persian,6955
2023-12-22,Hebrew,6774
2023-12-22,Finnish,6541
2023-12-22,(other),6464
2023-12-22,Hungarian,6391
2023-12-22,Romanian,6037
2023-12-22,Catalan,4731
2023-12-22,Slovak,4200
2023-12-22,Hindi,3509
2023-12-22,Croatian,3181
2023-12-22,Serbian,2296
2023-12-22,Bulgarian,2069
2023-12-22,Slovenian,1467
2023-12-22,Lithuanian,1260
2023-12-22,Uzbek,1138
2023-12-22,Latvian,824
2023-12-22,Estonian,783
2023-12-22,Georgian,702
2023-12-22,Malay,610
2023-12-22,Bengali,600
2023-12-22,Bosnian,560
2023-12-22,Azerbaijani,552
2023-12-22,Central Khmer,464
2023-12-22,Albanian,445
2023-12-22,Marathi,426
2023-12-22,Gujarati,365
2023-12-22,Panjabi,352
2023-12-22,Burmese,322
2023-12-22,Icelandic,312
2023-12-22,Tamil,298
2023-12-22,Afrikaans,292
2023-12-22,Macedonian,268
2023-12-22,Amharic,242
2023-12-22,Telugu,207
2023-12-22,Basque,198
2023-12-22,Urdu,179
2023-12-22,Kannada,173
2023-12-22,Galician,168
2023-12-22,Corsican,148
2023-12-22,Malayalam,143
2023-12-22,Armenian,138
2023-12-22,Mongolian,117
2023-12-22,Irish,107
2023-12-22,Samoan,102
2023-12-22,Welsh,83
2023-12-22,Nepali,82
2023-12-22,Belarusian,81
2023-12-22,Swahili,81
2023-12-22,Somali,70
2023-12-22,Tonga,63
2023-12-22,Tagalog,61
2023-12-22,Igbo,58
2023-12-22,Sinhala,57
2023-12-22,Tigrinya,55
2023-12-22,Akan,53
2023-12-22,Kazakh,53
2023-12-22,Norwegian,48
2023-12-22,Lao,46
2023-12-22,Yoruba,42
2023-12-22,Tibetan,40
2023-12-22,Haitian,39
2023-12-22,Norwegian Nynorsk,37
2023-12-22,Esperanto,36
2023-12-22,Gaelic,33
2023-12-22,Maori,33
2023-12-22,Oriya,29
2023-12-22,Oromo,28
2023-12-22,Pushto,24
2023-12-22,Yiddish,23
2023-12-22,Ido,18
2023-12-22,Kinyarwanda,18
2023-12-22,Maltese,18
2023-12-22,Shona,17
2023-12-22,Assamese,16
2023-12-22,Xhosa,16
2023-12-22,Kashmiri,14
2023-12-22,Luxembourgish,13
2023-12-22,Zulu,11
2023-12-21,English,41182032
2023-12-21,Spanish,2137172
2023-12-21,Chinese,298747
2023-12-21,French,177436
2023-12-21,German,118694
2023-12-21,Japanese,100560
2023-12-21,Russian,95666
2023-12-21,Portuguese,90774
2023-12-21,Korean,69265
2023-12-21,Turkish,54827
2023-12-21,Italian,48319
2023-12-21,Arabic,33089
2023-12-21,Dutch,31542
2023-12-21,Vietnamese,26263
2023-12-21,Polish,24320
2023-12-21,Swedish,19136
2023-12-21,Indonesian,18706
2023-12-21,Ukrainian,14214
2023-12-21,Thai,11863
2023-12-21,Norwegian Bokmål,11466
2023-12-21,(other),10268
2023-12-21,Danish,10252
2023-12-21,Hebrew,10229
2023-12-21,Czech,8692
2023-12-21,Greek,8645
2023-12-21,Hungarian,7451
2023-12-21,Finnish,7166
2023-12-21,Romanian,6013
2023-12-21,Persian,5157
2023-12-21,Catalan,5133
2023-12-21,Slovak,4534
2023-12-21,Hindi,3683
2023-12-21,Croatian,3619
2023-12-21,Serbian,2401
2023-12-21,Bulgarian,2310
2023-12-21,Slovenian,1868
2023-12-21,Lithuanian,1502
2023-12-21,Uzbek,928
2023-12-21,Latvian,895
2023-12-21,Georgian,891
2023-12-21,Estonian,857
2023-12-21,Malay,685
