date,browser,visits
2023-12-16,Safari (in-app),1048029
2023-12-16,Samsung Internet,609731
2023-12-16,Firefox,554713
2023-12-16,Android Webview,486948
2023-12-16,Opera,65746
2023-12-16,Amazon Silk,64421
2023-12-16,(not set),36190
2023-12-16,Mozilla Compatible Agent,23182
2023-12-16,Internet Explorer,11884
2023-12-16,YaBrowser,5934
2023-12-16,UC Browser,3292
2023-12-16,Opera Mini,2865
2023-12-16,Lynx,2766
2023-12-16,Whale Browser,2166
2023-12-16,Coc Coc,1114
2023-12-16,Mozilla,873
2023-12-16,Aloha Browser,750
2023-12-16,Android Runtime,734
2023-12-16,DuckDuckGo Browser,433
2023-12-16,PaleMoon,418
2023-12-16,Vivaldi,366
2023-12-16,SeaMonkey,306
2023-12-16,Android Browser,239
2023-12-16,Iron,214
2023-12-16,Phoenix Browser,209
2023-12-16,Meta Quest Browser,153
2023-12-16,Waterfox,121
2023-12-15,Chrome,20581158
2023-12-15,Safari,17154700
2023-12-15,Edge,3598868
2023-12-15,Safari (in-app),1132022
2023-12-15,Firefox,826720
2023-12-15,Samsung Internet,698735
2023-12-15,Android Webview,569557
2023-12-15,Opera,80802
2023-12-15,Amazon Silk,64766
2023-12-15,(not set),39055
2023-12-15,Mozilla Compatible Agent,26662
2023-12-15,Internet Explorer,22134
2023-12-15,YaBrowser,7179
2023-12-15,UC Browser,3182
2023-12-15,Opera Mini,3046
2023-12-15,Whale Browser,2896
2023-12-15,Coc Coc,1414
2023-12-15,Lynx,1089
2023-12-15,Mozilla,957
2023-12-15,Android Runtime,756
2023-12-15,Aloha Browser,752
2023-12-15,Android Browser,655
2023-12-15,PaleMoon,491
2023-12-15,Iron,473
2023-12-15,DuckDuckGo Browser,454
2023-12-15,SeaMonkey,447
2023-12-15,Vivaldi,267
2023-12-15,Phoenix Browser,234
2023-12-15,Meta Quest Browser,143
2023-12-15,Puffin,138
2023-12-15,Waterfox,128
2023-12-14,Chrome,21755922
2023-12-14,Safari,17973934
2023-12-14,Edge,4127065
2023-12-14,Safari (in-app),1296348
2023-12-14,Firefox,888826
2023-12-14,Samsung Internet,761721
2023-12-14,Android Webview,649180
2023-12-14,Opera,88936
2023-12-14,Amazon Silk,64681
2023-12-14,(not set),43033
2023-12-14,Mozilla Compatible Agent,28959
2023-12-14,Internet Explorer,23696
2023-12-14,YaBrowser,8368
2023-12-14,Whale Browser,3930
2023-12-14,UC Browser,3508
2023-12-14,Opera Mini,3339
2023-12-14,Lynx,2708
2023-12-14,Coc Coc,1816
2023-12-14,Mozilla,933
2023-12-14,Android Runtime,826
2023-12-14,Aloha Browser,760
2023-12-14,Android Browser,561
2023-12-14,Iron,559
