date,language,visits
2023-12-11,Walloon,4
2023-12-11,Bashkir,3
2023-12-11,Bihari,3
2023-12-11,Kurdish,3
2023-12-11,Romansh,3
2023-12-11,Tswana,3
2023-12-11,Cornish,2
2023-12-11,Fulah,2
2023-12-11,Inuktitut,2
2023-12-11,Kalaallisut,2
2023-12-11,North Ndebele,2
2023-12-11,Sindhi,2
2023-12-11,Tatar,2
2023-12-11,Venda,2
2023-12-11,Bislama,1
2023-12-11,Chuvash,1
2023-12-11,Dzongkha,1
2023-12-11,Guarani,1
2023-12-11,Lingala,1
2023-12-11,Sango,1
2023-12-11,Sardinian,1
2023-12-11,Sichuan Yi,1
2023-12-11,Sundanese,1
2023-12-11,Tsonga,1
2023-12-10,English,26633862
2023-12-10,Spanish,1842760
2023-12-10,Chinese,274264
2023-12-10,French,150757
2023-12-10,German,92924
2023-12-10,Japanese,85474
2023-12-10,Russian,78118
2023-12-10,Portuguese,71389
2023-12-10,Korean,62188
2023-12-10,Arabic,43186
2023-12-10,Turkish,40095
2023-12-10,Italian,37582
2023-12-10,Dutch,27440
2023-12-10,Vietnamese,23778
2023-12-10,Indonesian,22810
2023-12-10,Polish,21265
2023-12-10,Swedish,17455
2023-12-10,Ukrainian,12444
2023-12-10,Hebrew,9818
2023-12-10,Danish,9545
2023-12-10,Norwegian Bokmål,9241
2023-12-10,Thai,9004
2023-12-10,Czech,8366
2023-12-10,Greek,8040
2023-12-10,Hungarian,7033
2023-12-10,Finnish,6893
2023-12-10,Romanian,6580
2023-12-10,Persian,5571
2023-12-10,Catalan,5380
2023-12-10,(other),4405
2023-12-10,Slovak,4187
2023-12-10,Croatian,3485
2023-12-10,Hindi,3280
2023-12-10,Serbian,2274
2023-12-10,Bulgarian,2176
2023-12-10,Slovenian,1623
2023-12-10,Lithuanian,1387
2023-12-10,Georgian,879
2023-12-10,Azerbaijani,873
2023-12-10,Estonian,839
2023-12-10,Uzbek,821
2023-12-10,Latvian,791
2023-12-10,Malay,696
2023-12-10,Bengali,591
2023-12-10,Bosnian,582
2023-12-10,Central Khmer,500
2023-12-10,Albanian,491
2023-12-10,Marathi,417
2023-12-10,Gujarati,368
2023-12-10,Burmese,325
2023-12-10,Tamil,311
2023-12-10,Icelandic,309
2023-12-10,Macedonian,276
2023-12-10,Afrikaans,271
2023-12-10,Panjabi,260
2023-12-10,Amharic,259
2023-12-10,Galician,220
2023-12-10,Basque,199
2023-12-10,Telugu,199
2023-12-10,Urdu,161
2023-12-10,Malayalam,158
2023-12-10,Mongolian,153
2023-12-10,Armenian,145
2023-12-10,Kannada,142
2023-12-10,Welsh,112
2023-12-10,Irish,105
2023-12-10,Kazakh,96
2023-12-10,Nepali,96
2023-12-10,Belarusian,83
2023-12-10,Corsican,83
2023-12-10,Somali,74
2023-12-10,Norwegian,61
2023-12-10,Samoan,61
2023-12-10,Sinhala,60
2023-12-10,Maori,59
2023-12-10,Swahili,58
2023-12-10,Akan,49
2023-12-10,Tonga,48
2023-12-10,Lao,46
2023-12-10,Tagalog,45
2023-12-10,Gaelic,44
2023-12-10,Pushto,43
2023-12-10,Igbo,39
2023-12-10,Norwegian Nynorsk,35
2023-12-10,Esperanto,33
2023-12-10,Tigrinya,32
2023-12-10,Haitian,28
2023-12-10,Tibetan,27
2023-12-10,Oromo,26
2023-12-10,Oriya,24
2023-12-10,Yoruba,24
2023-12-10,Kashmiri,19
2023-12-10,Yiddish,19
2023-12-10,Ganda,18
2023-12-10,Faroese,14
2023-12-10,Kirghiz,13
2023-12-10,Maltese,13
2023-12-10,Ido,12
2023-12-10,Shona,12
2023-12-10,Assamese,11
2023-12-10,Sanskrit,11
2023-12-10,Northern Sami,9
2023-12-10,Divehi,8
2023-12-10,Interlingua,8
2023-12-10,Latin,7
2023-12-10,Uighur,7
2023-12-10,Zulu,7
2023-12-10,Aragonese,6
2023-12-10,Ewe,6
2023-12-10,Hausa,6
2023-12-10,Javanese,6
2023-12-10,Luxembourgish,6
2023-12-10,Tajik,6
2023-12-10,Western Frisian,6
2023-12-10,Bambara,5
2023-12-10,Dzongkha,4
2023-12-10,Kurdish,4
2023-12-10,Serbo-Croatian,4
2023-12-10,Wolof,4
2023-12-10,Breton,3
2023-12-10,Chechen,3
2023-12-10,Kalaallisut,3
2023-12-10,Kinyarwanda,3
2023-12-10,Lingala,3
2023-12-10,Manx,3
2023-12-10,Sindhi,3
2023-12-10,Twi,3
2023-12-10,Venda,3
2023-12-10,Bislama,2
2023-12-10,Chichewa,2
2023-12-10,Chuvash,2
2023-12-10,Guarani,2
2023-12-10,Kikuyu,2
2023-12-10,Quechua,2
2023-12-10,Romansh,2
2023-12-10,Sundanese,2
2023-12-10,Turkmen,2
2023-12-10,Bihari,1
2023-12-10,Cornish,1
2023-12-10,Fulah,1
2023-12-10,Inuktitut,1
2023-12-10,North Ndebele,1
2023-12-10,Ossetian,1
2023-12-10,Sichuan Yi,1
2023-12-10,Tatar,1
2023-12-10,Tsonga,1
2023-12-10,Tswana,1
2023-12-10,Walloon,1
2023-12-09,English,29963439
2023-12-09,Spanish,1895030
2023-12-09,Chinese,221325
2023-12-09,French,143809
2023-12-09,German,87082
2023-12-09,Russian,74285
2023-12-09,Portuguese,70169
2023-12-09,Japanese,61349
2023-12-09,Korean,43528
2023-12-09,Arabic,43102
2023-12-09,Turkish,40835
2023-12-09,Italian,35388
2023-12-09,Dutch,26288
2023-12-09,Vietnamese,21289
2023-12-09,Polish,19527
2023-12-09,Indonesian,18535
2023-12-09,Swedish,14495
2023-12-09,Ukrainian,11852
2023-12-09,Norwegian Bokmål,8608
2023-12-09,Danish,8212
2023-12-09,Thai,7945
2023-12-09,Greek,7485
2023-12-09,Hebrew,7383
2023-12-09,Czech,7163
2023-12-09,(other),7015
2023-12-09,Hungarian,6348
2023-12-09,Finnish,6238
2023-12-09,Romanian,5879
2023-12-09,Persian,5872
2023-12-09,Catalan,4701
2023-12-09,Slovak,3683
2023-12-09,Hindi,3415
2023-12-09,Croatian,3027
2023-12-09,Serbian,2233
2023-12-09,Bulgarian,2093
2023-12-09,Slovenian,1447
2023-12-09,Lithuanian,1257
2023-12-09,Georgian,845
2023-12-09,Estonian,729
2023-12-09,Azerbaijani,728
2023-12-09,Latvian,699
2023-12-09,Malay,665
2023-12-09,Bengali,663
2023-12-09,Uzbek,658
2023-12-09,Central Khmer,574
2023-12-09,Bosnian,545
2023-12-09,Albanian,503
2023-12-09,Marathi,495
2023-12-09,Gujarati,370
2023-12-09,Panjabi,333
2023-12-09,Macedonian,303
2023-12-09,Amharic,295
2023-12-09,Afrikaans,292
2023-12-09,Icelandic,286
2023-12-09,Burmese,264
2023-12-09,Tamil,257
2023-12-09,Galician,221
2023-12-09,Basque,208
2023-12-09,Telugu,198
2023-12-09,Armenian,181
2023-12-09,Urdu,158
2023-12-09,Malayalam,151
2023-12-09,Corsican,132
2023-12-09,Kannada,114
2023-12-09,Mongolian,111
2023-12-09,Irish,106
2023-12-09,Welsh,97
2023-12-09,Nepali,96
2023-12-09,Samoan,88
2023-12-09,Somali,88
2023-12-09,Belarusian,68
2023-12-09,Swahili,62
2023-12-09,Tonga,62
2023-12-09,Kazakh,55
2023-12-09,Sinhala,55
2023-12-09,Lao,52
2023-12-09,Igbo,50
2023-12-09,Maori,49
2023-12-09,Pushto,42
2023-12-09,Norwegian Nynorsk,40
2023-12-09,Gaelic,38
2023-12-09,Tagalog,36
2023-12-09,Yoruba,36
2023-12-09,Tigrinya,35
2023-12-09,Norwegian,34
2023-12-09,Haitian,31
2023-12-09,Akan,29
2023-12-09,Assamese,25
2023-12-09,Oromo,24
2023-12-09,Ido,23
2023-12-09,Tibetan,23
2023-12-09,Oriya,21
2023-12-09,Kashmiri,20
2023-12-09,Esperanto,19
2023-12-09,Ganda,17
2023-12-09,Latin,17
2023-12-09,Hausa,16
2023-12-09,Faroese,14
2023-12-09,Kirghiz,14
2023-12-09,Luxembourgish,14
2023-12-09,Maltese,14
2023-12-09,Wolof,14
2023-12-09,Yiddish,14
2023-12-09,Divehi,13
2023-12-09,Serbo-Croatian,12
2023-12-09,Zulu,10
2023-12-09,Breton,9
2023-12-09,Turkmen,9
2023-12-09,Bambara,8
2023-12-09,Interlingua,8
2023-12-09,Dzongkha,7
2023-12-09,Shona,7
2023-12-09,Kinyarwanda,6
2023-12-09,Kurdish,6
2023-12-09,Sanskrit,6
2023-12-09,Aragonese,5
2023-12-09,Bashkir,5
2023-12-09,Venda,5
2023-12-09,Xhosa,5
2023-12-09,Bihari,4
2023-12-09,Ewe,4
2023-12-09,Guarani,4
2023-12-09,Javanese,4
2023-12-09,Manx,4
2023-12-09,Ossetian,4
2023-12-09,Tajik,4
2023-12-09,Tswana,4
2023-12-09,Chichewa,3
2023-12-09,Kikuyu,3
2023-12-09,Sundanese,3
2023-12-09,Uighur,3
2023-12-09,Western Frisian,3
2023-12-09,Cornish,2
2023-12-09,Fulah,2
2023-12-09,Kalaallisut,2
2023-12-09,Malagasy,2
2023-12-09,North Ndebele,2
2023-12-09,Romansh,2
2023-12-09,Rundi,2
2023-12-09,Southern Sotho,2
2023-12-09,Tsonga,2
2023-12-09,Twi,2
2023-12-09,Walloon,2
2023-12-09,Chechen,1
2023-12-09,Chuvash,1
2023-12-09,Inuktitut,1
2023-12-09,Lingala,1
2023-12-09,Quechua,1
2023-12-09,Sardinian,1
2023-12-09,Sichuan Yi,1
2023-12-09,Sindhi,1
2023-12-08,English,41730064
2023-12-08,Spanish,2151846
