date,language,visits
2023-12-31,Norwegian Bokmål,434
2023-12-31,Bulgarian,338
2023-12-31,Danish,314
2023-12-31,Slovak,274
2023-12-31,Croatian,217
2023-12-31,Finnish,209
2023-12-31,Serbian,178
2023-12-31,Azerbaijani,144
2023-12-31,Catalan,109
2023-12-31,(other),91
2023-12-31,Uzbek,88
2023-12-31,Lithuanian,81
2023-12-31,Hindi,77
2023-12-31,Latvian,63
2023-12-31,Albanian,57
2023-12-31,Georgian,56
2023-12-31,Bosnian,53
2023-12-31,Slovenian,50
2023-12-31,Estonian,48
2023-12-31,Bengali,46
2023-12-31,Central Khmer,44
2023-12-31,Panjabi,36
2023-12-31,Macedonian,34
2023-12-31,Malay,30
2023-12-31,Burmese,28
2023-12-31,Amharic,25
2023-12-31,Gujarati,23
2023-12-31,Urdu,16
2023-12-31,Tamil,15
2023-12-31,Afrikaans,13
2023-12-31,Somali,13
2023-12-31,Belarusian,12
2023-12-31,Marathi,12
2023-12-31,Mongolian,11
2023-12-30,English,715836
2023-12-30,Spanish,61703
2023-12-30,French,16351
2023-12-30,Chinese,15765
2023-12-30,Portuguese,12750
2023-12-30,Russian,7828
2023-12-30,Arabic,7144
2023-12-30,German,5606
2023-12-30,Japanese,5036
2023-12-30,Turkish,4782
2023-12-30,Italian,2986
2023-12-30,Polish,1849
2023-12-30,Korean,1727
2023-12-30,Vietnamese,1669
2023-12-30,Dutch,1229
2023-12-30,Hebrew,1067
2023-12-30,Romanian,1011
2023-12-30,Ukrainian,927
2023-12-30,Swedish,898
2023-12-30,Indonesian,813
2023-12-30,Hungarian,800
2023-12-30,Norwegian Bokmål,789
2023-12-30,Thai,776
2023-12-30,Greek,611
2023-12-30,Czech,594
2023-12-30,Danish,484
2023-12-30,Azerbaijani,480
2023-12-30,Persian,388
2023-12-30,Croatian,324
2023-12-30,Bulgarian,294
2023-12-30,Slovak,284
2023-12-30,Finnish,268
2023-12-30,Serbian,244
2023-12-30,Uzbek,124
2023-12-30,Lithuanian,123
2023-12-30,Hindi,121
2023-12-30,Catalan,116
2023-12-30,(other),113
2023-12-30,Bengali,82
2023-12-30,Estonian,73
2023-12-30,Slovenian,72
2023-12-30,Albanian,67
2023-12-30,Bosnian,59
2023-12-30,Georgian,57
2023-12-30,Macedonian,48
2023-12-30,Amharic,45
2023-12-30,Latvian,45
2023-12-30,Panjabi,45
2023-12-30,Central Khmer,38
2023-12-30,Malay,34
2023-12-30,Burmese,27
2023-12-30,Mongolian,26
2023-12-30,Icelandic,22
2023-12-30,Urdu,18
2023-12-30,Afrikaans,16
2023-12-30,Tamil,16
2023-12-30,Somali,15
2023-12-30,Armenian,14
2023-12-29,English,946191
2023-12-29,Spanish,96056
2023-12-29,French,21531
2023-12-29,Portuguese,19066
2023-12-29,Chinese,18842
2023-12-29,Russian,10180
2023-12-29,German,6679
2023-12-29,Arabic,6478
2023-12-29,Japanese,6442
2023-12-29,Turkish,5737
2023-12-29,Italian,4238
2023-12-29,Polish,2525
2023-12-29,Korean,2501
2023-12-29,Vietnamese,2189
2023-12-29,Dutch,1485
2023-12-29,Romanian,1255
2023-12-29,Ukrainian,1238
2023-12-29,Swedish,1157
2023-12-29,Indonesian,1037
2023-12-29,Thai,945
2023-12-29,Hungarian,923
2023-12-29,Hebrew,801
2023-12-29,Greek,793
2023-12-29,Czech,735
2023-12-29,Norwegian Bokmål,639
2023-12-29,Danish,619
2023-12-29,Croatian,433
2023-12-29,Persian,428
2023-12-29,Bulgarian,348
2023-12-29,Finnish,342
2023-12-29,Slovak,319
2023-12-29,Serbian,283
2023-12-29,Azerbaijani,210
2023-12-29,Uzbek,150
2023-12-29,(other),149
2023-12-29,Catalan,134
2023-12-29,Lithuanian,133
2023-12-29,Hindi,132
2023-12-29,Albanian,94
2023-12-29,Estonian,84
2023-12-29,Slovenian,80
2023-12-29,Bosnian,77
2023-12-29,Bengali,72
2023-12-29,Central Khmer,66
2023-12-29,Latvian,65
2023-12-29,Georgian,63
2023-12-29,Macedonian,47
2023-12-29,Panjabi,42
2023-12-29,Malay,40
2023-12-29,Amharic,37
2023-12-29,Burmese,36
2023-12-29,Gujarati,31
2023-12-29,Armenian,27
2023-12-29,Malayalam,19
2023-12-29,Afrikaans,18
2023-12-29,Mongolian,18
2023-12-29,Urdu,18
2023-12-29,Marathi,16
2023-12-29,Somali,16
2023-12-29,Telugu,16
2023-12-29,Tamil,12
2023-12-29,Basque,11
2023-12-29,Pushto,11
2023-12-29,Tigrinya,11
2023-12-28,English,1074305
2023-12-28,Spanish,113320
2023-12-28,French,26774
2023-12-28,Chinese,23767
2023-12-28,Portuguese,22655
2023-12-28,Russian,11479
2023-12-28,Japanese,7985
2023-12-28,German,7373
2023-12-28,Turkish,7324
2023-12-28,Arabic,6081
2023-12-28,Italian,4681
2023-12-28,Korean,3376
2023-12-28,Polish,2918
2023-12-28,Vietnamese,2710
2023-12-28,Romanian,1524
2023-12-28,Dutch,1504
2023-12-28,Ukrainian,1402
2023-12-28,Hebrew,1301
2023-12-28,Swedish,1198
2023-12-28,Hungarian,1044
2023-12-28,Thai,1012
2023-12-28,Indonesian,997
2023-12-28,Greek,912
2023-12-28,Czech,709
2023-12-28,Danish,700
2023-12-28,Norwegian Bokmål,611
2023-12-28,Finnish,485
2023-12-28,Persian,469
2023-12-28,Bulgarian,440
2023-12-28,Croatian,380
2023-12-28,Slovak,350
2023-12-28,Serbian,321
2023-12-28,Lithuanian,176
2023-12-28,(other),164
2023-12-28,Uzbek,157
2023-12-28,Catalan,151
2023-12-28,Hindi,138
2023-12-28,Georgian,105
2023-12-28,Azerbaijani,102
2023-12-28,Albanian,95
2023-12-28,Slovenian,92
2023-12-28,Latvian,87
2023-12-28,Bengali,83
2023-12-28,Estonian,73
2023-12-28,Bosnian,72
2023-12-28,Central Khmer,48
2023-12-28,Malay,39
2023-12-28,Burmese,37
2023-12-28,Macedonian,35
2023-12-28,Amharic,30
2023-12-28,Gujarati,29
2023-12-28,Panjabi,28
2023-12-28,Icelandic,25
2023-12-28,Mongolian,24
2023-12-28,Telugu,24
2023-12-28,Tamil,22
2023-12-28,Urdu,22
2023-12-28,Malayalam,15
2023-12-28,Somali,15
2023-12-28,Lao,14
2023-12-28,Norwegian,14
2023-12-28,Armenian,13
2023-12-28,Belarusian,12
2023-12-28,Afrikaans,11
2023-12-28,Nepali,11
2023-12-28,Tagalog,11
2023-12-27,English,1095716
2023-12-27,Spanish,128057
2023-12-27,French,27670
2023-12-27,Portuguese,25057
2023-12-27,Chinese,24266
2023-12-27,Russian,12896
