domain,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
ms-ic.uat.usajobs.gov,211,211,211,1.0,0.0,211
fhfa.usajobs.gov,185,475,158,2.5675675675675675,23.410810810810812,158
nara.usajobs.gov,185,211,211,1.1405405405405404,0.0,185
navsea.usajobs.gov,185,238,158,1.2864864864864864,13.416216216216217,132
usajobswww.usajobs.gov,185,185,185,1.0,0.0,185
usgsi.usajobs.gov,185,238,238,1.2864864864864864,2.854054054054054,211
usmc.usajobs.gov,185,264,211,1.427027027027027,12.562162162162162,158
workatferc.usajobs.gov,185,449,158,2.427027027027027,43.108108108108105,211
dla.usajobs.gov,158,185,132,1.1708860759493671,7.518987341772152,132
fca.usajobs.gov,158,158,158,1.0,1.0,158
wwe.usajobs.gov,158,158,132,1.0,248.36708860759492,106
bamc.usajobs.gov,132,475,158,3.5984848484848486,50.61363636363637,158
dcma.usajobs.gov,132,185,158,1.4015151515151516,0.0,132
doi.usajobs.gov,132,238,158,1.803030303030303,19.606060606060606,79
nationalguardbureau.usajobs.gov,132,185,158,1.4015151515151516,7.0,132
fdic.usajobs.gov,106,185,132,1.7452830188679245,16.943396226415093,79
iaf.usajobs.gov,106,238,132,2.2452830188679247,1.0,132
login.usajobs.gov,106,158,106,1.490566037735849,0.0,132
usacestpaul.usajobs.gov,106,290,106,2.7358490566037736,94.16981132075472,79
aoc.usajobs.gov,79,79,79,1.0,0.0,79
army.usajobs.gov,79,185,79,2.3417721518987342,2.3417721518987342,79
blm.usajobs.gov,79,158,106,2.0,3.0126582278481013,106
blockedwww.usajobs.gov,79,79,79,1.0,103.62025316455696,53
fedshirevets.gov,79,53,79,0.6708860759493671,0.0,53
gao.usajobs.gov,79,132,79,1.6708860759493671,6.6835443037974684,79
state.uat.usajobs.gov,79,106,79,1.3417721518987342,15.379746835443038,79
atec.usajobs.gov,53,158,53,2.981132075471698,134.03773584905662,26
atf.usajobs.gov,53,53,53,1.0,19.433962264150942,26
cbp.usajobs.gov,53,53,53,1.0,0.0,53
e2e-branded-01.test.usajobs.gov,53,158,53,2.981132075471698,1.0,53
fbi.usajobs.gov,53,106,79,2.0,4.490566037735849,53
hhs-ihs.usajobs.gov,53,158,106,2.981132075471698,460.39622641509436,0
hwww.usajobs.gov,53,53,53,1.0,0.0,53
narai.usajobs.gov,53,79,53,1.490566037735849,1.0,53
onboard.usastaffing.gov,53,53,53,1.0,0.0,53
reclamationpathways.usajobs.gov,53,158,53,2.981132075471698,3.490566037735849,53
techtogov.usajobs.gov,53,79,26,1.490566037735849,2.981132075471698,53
treasury-occ.usajobs.gov,53,106,79,2.0,0.0,53
usgs.usajobs.gov,53,106,53,2.0,2.490566037735849,53
usphs.usajobs.gov,53,106,79,2.0,28.90566037735849,53
whs.usajobs.gov,53,79,79,1.490566037735849,0.0,79
ww.usajobs.gov,53,79,79,1.490566037735849,0.0,79
agency.usajobs.gov,26,26,26,1.0,0.0,26
airforce.uat.usajobs.gov,26,26,26,1.0,0.0,26
dfas.usajobs.gov,26,26,26,1.0,0.0,26
dhs-hq.usajobs.gov,26,158,53,6.076923076923077,3.0384615384615383,53
dhscs.test.usajobs.gov,26,26,26,1.0,0.0,26
dhscs.uat.usajobs.gov,26,26,26,1.0,0.0,26
gpo.usajobs.gov,26,53,26,2.0384615384615383,67.03846153846153,26
jlosadjfosdajlfs.usajobs.gov,26,26,26,1.0,0.0,26
jobsearch.usajobs.gov,26,26,26,1.0,0.0,26
nist.uat.usajobs.gov,26,26,26,1.0,0.0,26
nistcareers.usajobs.gov,26,79,26,3.0384615384615383,4.076923076923077,26
onboarding.usajobs.gov,26,26,26,1.0,0.0,26
ssai.uat.usajobs.gov,26,26,26,1.0,0.0,26
telework.gov,26,26,26,1.0,0.0,26
ustp.usajobs.gov,26,106,53,4.076923076923077,0.0,53
wwww.usajobs.gov,26,26,26,1.0,0.0,26
