page_title,event_label,page,total_events
"Global: African Daisy Stamps | USPS.com",https://www.usps.com/ecp/asset/images/580104-L0.jpg,store.usps.com/store/product/buy-stamps/global-african-daisy-stamps-s_580104,22
"How to Send a Letter or Postcard | USPS",https://www.usps.com/assets/transcripts/letters.txt,www.usps.com/ship/letters.htm,22
"January Price Change 2024 | Postal Explorer",https://pe.usps.com/resources/PriceChange/January%202024%20-%20Price%20Files%20Change%20Log%20MD%20Comp%20112223.xlsx,pe.usps.com/pricechange/index,22
"John Lewis Portfolio | USPS.com",https://www.usps.com/ecp/asset/images/483225-L0.jpg,store.usps.com/store/product/stamp-gifts/john-lewis-portfolio-s_483225,22
"Kwanzaa Stamps | USPS.com",https://www.usps.com/ecp/asset/images/580604-L0.jpg,store.usps.com/store/product/buy-stamps/kwanzaa-stamps-s_580604,22
"Mail Processing Facility Review | about.usps.com",https://about.usps.com/what/strategic-plans/mpfr/documents/augusta-ga-workbook.pdf,about.usps.com/what/strategic-plans/mpfr/welcome.htm,22
Manuals,https://about.usps.com/manuals/elm/elmc9.pdf,about.usps.com/manuals/elm/elm.htm,22
"Mariachi Press Sheet with Die-Cuts | USPS.com",https://www.usps.com/ecp/asset/images/482306-L0.jpg,store.usps.com/store/product/stamp-collectors/mariachi-press-sheet-with-die-cuts-s_482306,22
"Mid-Atlantic Lighthouses Notecards | USPS.com",https://www.usps.com/ecp/asset/images/481066-L0.jpg,store.usps.com/store/product/cards-envelopes/mid-atlantic-lighthouses-notecards-s_481066,22
"Peanuts Gang Snow Scene Greeting Cards | USPS.com",https://www.usps.com/ecp/asset/images/843486-L0.jpg,store.usps.com/store/product/cards-envelopes/peanuts-gang-snow-scene-greeting-cards-p_843486,22
"Priority Mail Express Hold For Pickup Label | USPS.com",https://www.usps.com/ecp/asset/images/LABEL11HFPU-L0.jpg,store.usps.com/store/product/shipping-supplies/priority-mail-express-hold-for-pickup-label-p_label11hfpu,22
"Priority Mail Flat Rate® Medium Box - 1 | USPS.com",https://www.usps.com/ecp/asset/images/O_FRB1-L0.jpg,store.usps.com/store/product/shipping-supplies/priority-mail-flat-rate-medium-box-1-p_o_frb1,22
"Priority Mail MILI-PAC Envelope | USPS.com",https://www.usps.com/ecp/asset/images/MILI_PAC-L0.jpg,store.usps.com/store/product/shipping-supplies/priority-mail-mili-pac-envelope-p_mili_pac,22
