page_title,event_label,page,total_events
"Sailboats Postcard Stamps | USPS.com",https://www.usps.com/ecp/asset/images/122504-L0.jpg,store.usps.com/store/product/buy-stamps/sailboats-postcard-stamps-s_122504,412
"Stamps, Mailing Supplies & Collectibles | USPS",https://www.usps.com/stamp-collecting/assets/pdf/usa_philatelic_catalog.pdf,store.usps.com/store/home,412
"Welcome | Postal Explorer",https://pe.usps.com/cpim/ftp/manuals/Imm/ImmTOC.pdf,pe.usps.com/,412
"Western Wear Stamp | USPS.com",https://www.usps.com/ecp/asset/images/683304-L0.jpg,store.usps.com/store/product/buy-stamps/western-wear-stamps-s_683304,412
"2023 Stamp Yearbook | USPS.com",https://www.usps.com/ecp/asset/images/992320-L0.jpg,store.usps.com/store/product/stamp-collectors/2023-stamp-yearbook-s_992320,309
"File a USPS Claim: International | USPS",https://www.usps.com/assets/transcripts/how-to-file-an-international-claim-transcript.txt,www.usps.com/help/international-claims.htm,309
"Go Beyond Stamps | USPS.com",https://www.usps.com/ecp/asset/images/482504-L0.jpg,store.usps.com/store/product/buy-stamps/go-beyond-stamps-s_482504,309
Introduction: Delivering for America: Our ten-year plan - about.usps.com,https://about.usps.com/what/strategic-plans/delivering-for-america/assets/USPS_Delivering-For-America.pdf,about.usps.com/what/strategic-plans/delivering-for-america/,309
"Kwanzaa Stamps | USPS.com",https://www.usps.com/ecp/asset/images/580604-L0.jpg,store.usps.com/store/product/buy-stamps/kwanzaa-stamps-s_580604,309
"Manifest Mailing Systems | Postal Explorer",http://ribbs.usps.gov/mac/documents/tech_guides/PUBS/PUB_401.PDF,pe.usps.com/businessmail101,309
Manuals,http://about.usps.com/manuals/elm/elm53.zip,about.usps.com/manuals/elm/elm.htm,309
Manuals,https://about.usps.com/manuals/elm/elmc6.pdf,about.usps.com/manuals/elm/elm.htm,309
Manuals,https://about.usps.com/manuals/elm/elmc8.pdf,about.usps.com/manuals/elm/elm.htm,309
Manuals,https://about.usps.com/manuals/elm/elmtoc.pdf,about.usps.com/manuals/elm/elm.htm,309
"Mariachi Stamp | USPS.com",https://www.usps.com/ecp/asset/images/482304-L0.jpg,store.usps.com/store/product/buy-stamps/mariachi-stamps-s_482304,309
"Priority Mail Flat Rate® Boxes Variety Pack - VARIETY FRB | USPS.com",https://www.usps.com/ecp/asset/images/VARIETY_FRBV-L0.jpg,store.usps.com/store/product/shipping-supplies/priority-mail-flat-rate-boxes-variety-pack-p_variety_frbv,309
"Priority Mail Flat Rate® Legal Envelope - EP14L | USPS.com",https://www.usps.com/ecp/asset/images/EP14L-L0.jpg,store.usps.com/store/product/shipping-supplies/priority-mail-flat-rate-legal-envelope-p_ep14l,309
"Priority Mail Flat Rate® Small Box | USPS.com",https://www.usps.com/ecp/asset/images/SMALL_FRB-L0.jpg,store.usps.com/store/product/shipping-supplies/priority-mail-flat-rate-small-box-p_small_frb,309
"Priority Mail Flat Rate® Small Envelope - EP14B | USPS.com",https://www.usps.com/ecp/asset/images/EP_14_B-L0.jpg,store.usps.com/store/product/shipping-supplies/priority-mail-flat-rate-small-envelope-p_ep_14_b,309
Retail Postage Price Calculator,https://pe.usps.com/cpim/ftp/manuals/dmm300/Notice123.pdf,postcalc.usps.com/calculator,309
Service alerts - Newsroom - About.usps.com,https://about.usps.com/newsroom/service-alerts/msureport.xlsx,about.usps.com/newsroom/service-alerts/,309
"Welcome | Postal Explorer",https://pe.usps.com/cpim/ftp/manuals/dmm300/Notice123.pdf,pe.usps.com/,309
"$2 Floral Geometry Stamps | USPS.com",https://www.usps.com/ecp/asset/images/121904-L0.jpg,store.usps.com/store/product/buy-stamps/2-dollar-floral-geometry-stamps-s_121904,206
"2023 High Value Mail Stamp Packet | USPS.com",https://www.usps.com/ecp/asset/images/992306-L0.jpg,store.usps.com/store/product/stamp-collectors/2023-high-value-mail-stamp-packet-s_992306,206
"2023 Mail Use Stamp Packet | USPS.com",https://www.usps.com/ecp/asset/images/992304-L0.jpg,store.usps.com/store/product/stamp-collectors/2023-mail-use-stamp-packet-s_992304,206
"Arnold Palmer Stamp | USPS.com",https://www.usps.com/ecp/asset/images/475904-L0.jpg,store.usps.com/store/product/buy-stamps/arnold-palmer-stamps-s_475904,206
"Charles M. Schulz Framed Stamps | USPS.com",https://www.usps.com/ecp/asset/images/561724-L0.jpg,store.usps.com/store/product/stamp-gifts/charles-m-schulz-framed-stamps-s_561724,206
Delivering for America: Our ten-year plan highlights - about.usps.com,https://about.usps.com/what/strategic-plans/delivering-for-america/assets/USPS_Delivering-For-America.pdf,about.usps.com/what/strategic-plans/delivering-for-america/details.htm,206
"Eid Greetings Stamp | USPS.com",https://www.usps.com/ecp/asset/images/556204-L0.jpg,store.usps.com/store/product/buy-stamps/eid-greetings-stamps-s_556204,206
"Every Door Direct Mail (EDDM) - Marketing por correo dirigido | USPS",https://www.usps.com/business/pdf/every-door-direct-mail-user-guide.pdf,www.usps.com/business/every-door-direct-mail.htm,206
Forms - Resources - About.usps.com,https://about.usps.com/forms/ps1093.pdf,about.usps.com/resources/forms.htm,206
Forms - Resources - About.usps.com,https://about.usps.com/forms/ps1357c.pdf,about.usps.com/resources/forms.htm,206
Freedom of Information Act (FOIA) - Who We Are - About.usps.com,https://about.usps.com/who/legal/foia/documents/identity-certification_07-25-2017.pdf,about.usps.com/who/legal/foia/,206
