date,language,visits
2023-12-27,German,392
2023-12-27,Italian,299
2023-12-27,Indonesian,262
2023-12-27,Polish,177
2023-12-27,Thai,134
2023-12-27,Dutch,124
2023-12-27,Croatian,118
2023-12-27,Bosnian,113
2023-12-27,Persian,95
2023-12-27,Ukrainian,76
2023-12-27,Swedish,75
2023-12-27,Hebrew,74
2023-12-27,Greek,66
2023-12-27,Romanian,66
2023-12-27,Czech,62
2023-12-27,Macedonian,55
2023-12-27,Hungarian,53
2023-12-27,Hindi,47
2023-12-27,Albanian,44
2023-12-27,Finnish,42
2023-12-27,Danish,40
2023-12-27,Serbian,33
2023-12-27,Norwegian Bokmål,26
2023-12-27,(other),24
2023-12-27,Bulgarian,21
2023-12-27,Malay,20
2023-12-27,Slovak,18
2023-12-27,Slovenian,17
2023-12-27,Catalan,11
2023-12-26,English,303476
2023-12-26,Spanish,9107
2023-12-26,Portuguese,1801
2023-12-26,Chinese,1597
2023-12-26,Japanese,1090
2023-12-26,Korean,836
2023-12-26,French,745
2023-12-26,Turkish,523
2023-12-26,Vietnamese,510
2023-12-26,Russian,495
2023-12-26,Arabic,432
2023-12-26,German,330
2023-12-26,Indonesian,255
2023-12-26,Italian,202
2023-12-26,Thai,167
2023-12-26,Bosnian,116
2023-12-26,Polish,110
2023-12-26,Ukrainian,102
2023-12-26,Croatian,95
2023-12-26,Dutch,86
2023-12-26,Hebrew,83
2023-12-26,Macedonian,76
2023-12-26,Swedish,68
2023-12-26,Persian,60
2023-12-26,Romanian,56
2023-12-26,Albanian,54
2023-12-26,Greek,52
2023-12-26,Hungarian,50
2023-12-26,Danish,37
2023-12-26,(other),36
2023-12-26,Hindi,36
2023-12-26,Finnish,32
2023-12-26,Czech,30
2023-12-26,Norwegian Bokmål,26
2023-12-26,Serbian,25
2023-12-26,Bulgarian,24
2023-12-26,Slovak,17
2023-12-26,Azerbaijani,16
2023-12-26,Malay,14
2023-12-26,Afrikaans,12
2023-12-26,Slovenian,12
2023-12-25,English,134858
2023-12-25,Spanish,4701
2023-12-25,Chinese,1457
2023-12-25,Japanese,1058
2023-12-25,Portuguese,953
2023-12-25,Korean,565
2023-12-25,French,530
2023-12-25,Vietnamese,515
2023-12-25,Russian,462
2023-12-25,Turkish,447
2023-12-25,Arabic,430
2023-12-25,German,264
2023-12-25,Indonesian,202
2023-12-25,Italian,138
2023-12-25,Thai,133
2023-12-25,Croatian,126
2023-12-25,Bosnian,108
2023-12-25,Polish,91
2023-12-25,Dutch,79
2023-12-25,Hebrew,76
2023-12-25,Persian,69
2023-12-25,Macedonian,61
2023-12-25,Ukrainian,54
2023-12-25,Swedish,51
2023-12-25,Romanian,49
2023-12-25,Greek,46
2023-12-25,Serbian,40
2023-12-25,Albanian,38
2023-12-25,Danish,35
2023-12-25,Finnish,32
2023-12-25,Hindi,32
2023-12-25,Hungarian,32
2023-12-25,(other),25
2023-12-25,Norwegian Bokmål,23
2023-12-25,Czech,21
2023-12-25,Slovak,14
2023-12-25,Bulgarian,11
2023-12-25,Slovenian,11
2023-12-24,English,141012
2023-12-24,Spanish,3636
2023-12-24,Chinese,1191
2023-12-24,Japanese,754
2023-12-24,Portuguese,724
2023-12-24,Arabic,452
2023-12-24,French,427
2023-12-24,Vietnamese,353
2023-12-24,Russian,345
2023-12-24,Turkish,328
2023-12-24,Korean,310
2023-12-24,Indonesian,195
2023-12-24,German,188
2023-12-24,Italian,136
2023-12-24,Thai,106
2023-12-24,Dutch,87
2023-12-24,Hebrew,87
2023-12-24,Bosnian,83
2023-12-24,Persian,69
2023-12-24,Croatian,62
2023-12-24,Macedonian,52
2023-12-24,Polish,48
2023-12-24,Ukrainian,48
2023-12-24,Romanian,46
2023-12-24,Hungarian,44
2023-12-24,Hindi,40
2023-12-24,Greek,39
2023-12-24,Serbian,35
2023-12-24,Swedish,34
2023-12-24,Albanian,33
2023-12-24,Danish,24
2023-12-24,(other),21
2023-12-24,Finnish,21
2023-12-24,Czech,20
2023-12-24,Bulgarian,19
2023-12-24,Norwegian Bokmål,18
2023-12-24,Azerbaijani,15
2023-12-24,Slovak,14
2023-12-24,Slovenian,11
2023-12-23,English,165867
2023-12-23,Spanish,4765
2023-12-23,Chinese,1086
2023-12-23,Portuguese,816
2023-12-23,French,495
2023-12-23,Arabic,412
2023-12-23,Korean,351
2023-12-23,Vietnamese,290
2023-12-23,Russian,285
2023-12-23,Turkish,271
2023-12-23,German,266
2023-12-23,Japanese,218
2023-12-23,Italian,193
2023-12-23,Indonesian,192
2023-12-23,Croatian,100
2023-12-23,Bosnian,91
2023-12-23,Dutch,89
2023-12-23,Thai,84
2023-12-23,Polish,72
2023-12-23,Swedish,67
2023-12-23,Persian,61
2023-12-23,Hebrew,54
2023-12-23,Ukrainian,51
2023-12-23,Albanian,50
2023-12-23,Greek,49
2023-12-23,Hungarian,47
2023-12-23,Macedonian,46
2023-12-23,Finnish,41
2023-12-23,Romanian,41
2023-12-23,Hindi,38
2023-12-23,Serbian,32
2023-12-23,Danish,30
2023-12-23,Czech,26
2023-12-23,Norwegian Bokmål,25
2023-12-23,(other),20
2023-12-23,Bulgarian,16
2023-12-22,English,352574
2023-12-22,Spanish,8014
2023-12-22,Portuguese,1443
2023-12-22,Chinese,1402
2023-12-22,French,909
2023-12-22,Korean,620
2023-12-22,Japanese,587
2023-12-22,Russian,508
2023-12-22,German,446
2023-12-22,Vietnamese,441
2023-12-22,Turkish,431
2023-12-22,Arabic,326
2023-12-22,Italian,303
2023-12-22,Indonesian,240
2023-12-22,Dutch,180
2023-12-22,Croatian,162
2023-12-22,Polish,144
2023-12-22,Bosnian,121
2023-12-22,Ukrainian,106
2023-12-22,Thai,93
2023-12-22,Swedish,85
2023-12-22,Macedonian,68
2023-12-22,Danish,64
2023-12-22,Persian,64
2023-12-22,Greek,62
2023-12-22,Albanian,58
2023-12-22,Finnish,54
2023-12-22,Hebrew,51
2023-12-22,Serbian,50
2023-12-22,Norwegian Bokmål,49
2023-12-22,Romanian,48
2023-12-22,Hungarian,47
2023-12-22,Czech,39
2023-12-22,Hindi,31
2023-12-22,(other),28
2023-12-22,Bulgarian,15
2023-12-22,Catalan,14
2023-12-22,Slovak,14
2023-12-22,Slovenian,14
2023-12-22,Azerbaijani,12
2023-12-22,Malay,12
2023-12-21,English,445182
2023-12-21,Spanish,9533
2023-12-21,Chinese,4998
2023-12-21,Portuguese,1942
2023-12-21,Japanese,1224
2023-12-21,French,1108
2023-12-21,Korean,835
2023-12-21,German,587
2023-12-21,Russian,548
2023-12-21,Turkish,512
2023-12-21,Vietnamese,489
2023-12-21,Arabic,387
2023-12-21,Italian,344
2023-12-21,Indonesian,293
2023-12-21,Dutch,212
2023-12-21,Polish,190
2023-12-21,Thai,161
2023-12-21,Croatian,160
2023-12-21,Bosnian,136
2023-12-21,Swedish,113
2023-12-21,Ukrainian,91
2023-12-21,Danish,72
2023-12-21,Greek,67
2023-12-21,Hebrew,65
2023-12-21,Persian,65
2023-12-21,Romanian,58
2023-12-21,Albanian,57
2023-12-21,Macedonian,56
2023-12-21,Finnish,53
2023-12-21,Hungarian,52
2023-12-21,Serbian,50
2023-12-21,Hindi,48
2023-12-21,Norwegian Bokmål,46
2023-12-21,Czech,36
2023-12-21,(other),32
2023-12-21,Slovak,27
2023-12-21,Afrikaans,18
2023-12-21,Slovenian,17
2023-12-21,Catalan,15
2023-12-21,Bulgarian,14
2023-12-21,Azerbaijani,13
2023-12-21,Bengali,12
2023-12-20,English,504307
2023-12-20,Spanish,10209
2023-12-20,Chinese,2457
2023-12-20,Portuguese,1974
2023-12-20,Japanese,1219
2023-12-20,French,1200
2023-12-20,Korean,969
2023-12-20,German,688
2023-12-20,Vietnamese,564
2023-12-20,Russian,556
2023-12-20,Turkish,541
2023-12-20,Arabic,404
2023-12-20,Italian,371
2023-12-20,Indonesian,331
2023-12-20,Dutch,228
2023-12-20,Polish,185
2023-12-20,Thai,161
2023-12-20,Bosnian,135
2023-12-20,Croatian,135
2023-12-20,Ukrainian,120
2023-12-20,Swedish,112
2023-12-20,Danish,95
2023-12-20,Hebrew,93
2023-12-20,Greek,73
2023-12-20,Macedonian,71
2023-12-20,Hungarian,61
2023-12-20,Finnish,60
2023-12-20,Albanian,59
2023-12-20,Persian,59
2023-12-20,Czech,58
2023-12-20,Norwegian Bokmål,58
2023-12-20,Serbian,52
2023-12-20,Romanian,49
2023-12-20,Bulgarian,34
2023-12-20,Hindi,34
2023-12-20,(other),26
2023-12-20,Slovak,21
2023-12-20,Malay,18
2023-12-20,Afrikaans,17
2023-12-20,Slovenian,17
2023-12-20,Catalan,16
2023-12-20,Uzbek,16
2023-12-20,Bengali,14
2023-12-20,Azerbaijani,11
2023-12-19,English,529065
2023-12-19,Spanish,10719
2023-12-19,Portuguese,2210
2023-12-19,Chinese,2069
2023-12-19,Japanese,1310
2023-12-19,French,1233
2023-12-19,Korean,1093
2023-12-19,German,729
2023-12-19,Turkish,601
2023-12-19,Russian,575
2023-12-19,Vietnamese,523
2023-12-19,Arabic,508
2023-12-19,Italian,422
2023-12-19,Indonesian,322
2023-12-19,Dutch,247
2023-12-19,Polish,181
2023-12-19,Danish,174
2023-12-19,Thai,162
2023-12-19,Bosnian,149
2023-12-19,Swedish,144
2023-12-19,Croatian,130
2023-12-19,Ukrainian,103
2023-12-19,Greek,93
2023-12-19,Hebrew,83
2023-12-19,Norwegian Bokmål,75
2023-12-19,Czech,70
2023-12-19,Hungarian,70
2023-12-19,Albanian,68
2023-12-19,Macedonian,58
2023-12-19,Persian,53
2023-12-19,Romanian,48
2023-12-19,Finnish,46
2023-12-19,(other),39
2023-12-19,Serbian,37
2023-12-19,Hindi,32
2023-12-19,Bulgarian,25
2023-12-19,Slovak,22
2023-12-19,Catalan,16
2023-12-19,Lithuanian,13
2023-12-19,Malay,13
2023-12-19,Slovenian,13
2023-12-18,English,521878
2023-12-18,Spanish,10893
2023-12-18,Chinese,2416
2023-12-18,Portuguese,2398
2023-12-18,Japanese,1341
2023-12-18,French,1272
2023-12-18,Korean,1069
2023-12-18,German,781
2023-12-18,Russian,689
2023-12-18,Turkish,641
2023-12-18,Vietnamese,512
2023-12-18,Arabic,423
2023-12-18,Italian,405
2023-12-18,Indonesian,348
2023-12-18,Dutch,225
2023-12-18,Danish,202
2023-12-18,Polish,184
2023-12-18,Thai,165
2023-12-18,Croatian,138
2023-12-18,Swedish,137
2023-12-18,Bosnian,132
2023-12-18,Ukrainian,116
2023-12-18,Norwegian Bokmål,97
2023-12-18,Greek,77
2023-12-18,Hebrew,76
2023-12-18,Hungarian,69
2023-12-18,Macedonian,65
2023-12-18,Romanian,61
2023-12-18,Persian,59
2023-12-18,Albanian,57
2023-12-18,Finnish,53
2023-12-18,Czech,52
2023-12-18,(other),43
2023-12-18,Serbian,38
2023-12-18,Hindi,33
2023-12-18,Slovak,32
2023-12-18,Bulgarian,31
2023-12-18,Slovenian,20
2023-12-18,Catalan,18
2023-12-18,Malay,14
2023-12-18,Uzbek,12
2023-12-18,Bengali,11
2023-12-18,Lithuanian,11
2023-12-17,English,202367
2023-12-17,Spanish,7035
2023-12-17,Chinese,1866
2023-12-17,Portuguese,1224
2023-12-17,Japanese,994
2023-12-17,Korean,737
2023-12-17,French,734
2023-12-17,Turkish,578
2023-12-17,Russian,487
2023-12-17,Arabic,458
2023-12-17,German,424
2023-12-17,Vietnamese,407
2023-12-17,Indonesian,259
2023-12-17,Italian,251
2023-12-17,Thai,144
2023-12-17,Dutch,131
2023-12-17,Polish,129
2023-12-17,Swedish,95
2023-12-17,Ukrainian,86
2023-12-17,Bosnian,82
2023-12-17,Hebrew,81
2023-12-17,Danish,71
2023-12-17,Croatian,62
2023-12-17,Hungarian,61
2023-12-17,Persian,61
2023-12-17,Romanian,61
2023-12-17,Greek,56
2023-12-17,Czech,48
2023-12-17,Finnish,42
2023-12-17,Macedonian,42
2023-12-17,Norwegian Bokmål,35
2023-12-17,Albanian,34
2023-12-17,Serbian,25
2023-12-17,(other),23
2023-12-17,Hindi,23
2023-12-17,Bulgarian,21
2023-12-17,Bengali,17
2023-12-17,Azerbaijani,14
2023-12-17,Malay,13
2023-12-17,Slovenian,13
2023-12-17,Slovak,12
2023-12-16,English,182763
2023-12-16,Spanish,6863
2023-12-16,Chinese,1524
2023-12-16,Portuguese,1205
2023-12-16,French,590
2023-12-16,Korean,470
2023-12-16,Turkish,401
2023-12-16,Arabic,386
2023-12-16,Japanese,383
2023-12-16,Russian,379
2023-12-16,Vietnamese,356
2023-12-16,German,294
2023-12-16,Indonesian,238
2023-12-16,Italian,217
2023-12-16,Dutch,118
2023-12-16,Bosnian,97
2023-12-16,Croatian,92
2023-12-16,Polish,90
2023-12-16,Thai,90
2023-12-16,Ukrainian,74
2023-12-16,Danish,71
2023-12-16,Persian,69
2023-12-16,Greek,60
2023-12-16,Swedish,60
2023-12-16,Hebrew,55
2023-12-16,Albanian,52
2023-12-16,Romanian,50
2023-12-16,Macedonian,45
2023-12-16,Czech,42
2023-12-16,Hungarian,41
2023-12-16,Norwegian Bokmål,34
2023-12-16,Hindi,30
2023-12-16,Finnish,27
2023-12-16,Bulgarian,26
2023-12-16,Serbian,25
2023-12-16,(other),20
2023-12-16,Slovak,17
2023-12-16,Slovenian,14
2023-12-16,Malay,11
2023-12-15,English,491384
2023-12-15,Spanish,10540
2023-12-15,Chinese,5671
2023-12-15,Portuguese,1902
2023-12-15,French,1131
2023-12-15,Korean,790
2023-12-15,Japanese,763
2023-12-15,German,721
2023-12-15,Russian,502
2023-12-15,Turkish,489
2023-12-15,Italian,437
2023-12-15,Vietnamese,415
2023-12-15,Arabic,386
2023-12-15,Indonesian,309
2023-12-15,Dutch,207
2023-12-15,Polish,175
2023-12-15,Croatian,139
2023-12-15,Bosnian,132
2023-12-15,Swedish,129
2023-12-15,Thai,123
2023-12-15,Ukrainian,110
2023-12-15,Danish,109
2023-12-15,Greek,87
2023-12-15,Norwegian Bokmål,76
2023-12-15,Hungarian,75
2023-12-15,Albanian,70
2023-12-15,Persian,60
2023-12-15,Macedonian,56
2023-12-15,Romanian,54
