date,language,visits
2023-12-26,Vietnamese,208
2023-12-26,Italian,204
2023-12-26,Dutch,159
2023-12-26,Polish,153
2023-12-26,Ukrainian,102
2023-12-26,Indonesian,100
2023-12-26,Thai,86
2023-12-26,Swedish,75
2023-12-26,Hebrew,73
2023-12-26,Danish,61
2023-12-26,Norwegian Bokmål,58
2023-12-26,Romanian,49
2023-12-26,Greek,47
2023-12-26,Hungarian,47
2023-12-26,(other),46
2023-12-26,Czech,44
2023-12-26,Finnish,35
2023-12-26,Croatian,27
2023-12-26,Slovak,20
2023-12-26,Serbian,18
2023-12-26,Lithuanian,15
2023-12-26,Hindi,14
2023-12-26,Catalan,11
2023-12-25,English,218239
2023-12-25,Spanish,14122
2023-12-25,Chinese,3099
2023-12-25,Japanese,1235
2023-12-25,Russian,708
2023-12-25,Korean,707
2023-12-25,French,644
2023-12-25,German,413
2023-12-25,Persian,405
2023-12-25,Portuguese,387
2023-12-25,Turkish,363
2023-12-25,Arabic,291
2023-12-25,Vietnamese,197
2023-12-25,Dutch,171
2023-12-25,Italian,158
2023-12-25,Polish,149
2023-12-25,(other),111
2023-12-25,Thai,89
2023-12-25,Ukrainian,86
2023-12-25,Hebrew,81
2023-12-25,Swedish,79
2023-12-25,Indonesian,58
2023-12-25,Norwegian Bokmål,52
2023-12-25,Danish,46
2023-12-25,Romanian,44
2023-12-25,Hungarian,39
2023-12-25,Czech,35
2023-12-25,Finnish,33
2023-12-25,Bulgarian,25
2023-12-25,Greek,25
2023-12-25,Slovak,24
2023-12-25,Serbian,22
2023-12-25,Hindi,12
2023-12-25,Croatian,11
2023-12-24,English,206963
2023-12-24,Spanish,12801
2023-12-24,Chinese,2648
2023-12-24,Japanese,840
2023-12-24,French,639
2023-12-24,Russian,585
2023-12-24,Persian,448
2023-12-24,Korean,445
2023-12-24,German,360
2023-12-24,Portuguese,330
2023-12-24,Arabic,293
2023-12-24,Turkish,289
2023-12-24,Vietnamese,194
2023-12-24,Italian,162
2023-12-24,Dutch,137
2023-12-24,Polish,129
2023-12-24,Hebrew,78
2023-12-24,Ukrainian,78
2023-12-24,Thai,71
2023-12-24,Indonesian,63
2023-12-24,Swedish,52
2023-12-24,Danish,47
2023-12-24,Hungarian,41
2023-12-24,(other),39
2023-12-24,Norwegian Bokmål,30
2023-12-24,Finnish,29
2023-12-24,Croatian,26
2023-12-24,Greek,26
2023-12-24,Romanian,26
2023-12-24,Czech,25
2023-12-24,Serbian,20
2023-12-24,Bulgarian,18
