date,browser,os,visits
2023-12-22,Chrome,Chrome OS,11569
2023-12-22,Chrome,Linux,10789
2023-12-22,Firefox,Windows,5786
2023-12-22,Samsung Internet,Android,3939
2023-12-22,Safari (in-app),iOS,2783
2023-12-22,Firefox,Macintosh,1446
2023-12-22,Opera,Windows,1157
2023-12-22,Android Webview,Android,827
2023-12-22,Edge,Android,519
2023-12-22,Firefox,Android,428
2023-12-22,Amazon Silk,Android,205
2023-12-22,Edge,Macintosh,186
2023-12-22,Firefox,Linux,157
2023-12-22,(not set),(not set),153
2023-12-22,Mozilla Compatible Agent,Macintosh,142
2023-12-22,Opera,Android,123
2023-12-21,Safari,iOS,182270
2023-12-21,Chrome,Windows,149684
2023-12-21,Chrome,Android,58407
2023-12-21,Chrome,Macintosh,56527
2023-12-21,Edge,Windows,55345
2023-12-21,Safari,Macintosh,48995
2023-12-21,Chrome,iOS,26253
2023-12-21,Chrome,Chrome OS,19182
2023-12-21,Chrome,Linux,11367
2023-12-21,Firefox,Windows,7991
2023-12-21,Samsung Internet,Android,4989
2023-12-21,Safari (in-app),iOS,4033
2023-12-21,Firefox,Macintosh,2036
2023-12-21,Opera,Windows,1378
2023-12-21,Android Webview,Android,1229
2023-12-21,Edge,Android,589
2023-12-21,Firefox,Android,489
2023-12-21,Edge,Macintosh,254
2023-12-21,Amazon Silk,Android,239
2023-12-21,Firefox,Linux,182
2023-12-21,Mozilla Compatible Agent,Macintosh,154
2023-12-21,(not set),(not set),153
2023-12-21,Opera,Android,124
2023-12-21,Samsung Internet,Linux,117
2023-12-21,Opera,Macintosh,105
2023-12-20,Safari,iOS,225137
2023-12-20,Chrome,Windows,175777
2023-12-20,Chrome,Macintosh,75917
2023-12-20,Chrome,Android,71913
2023-12-20,Edge,Windows,63265
2023-12-20,Safari,Macintosh,56999
2023-12-20,Chrome,iOS,32224
2023-12-20,Chrome,Chrome OS,23740
2023-12-20,Chrome,Linux,12312
2023-12-20,Firefox,Windows,10234
2023-12-20,Samsung Internet,Android,6267
2023-12-20,Safari (in-app),iOS,5179
2023-12-20,Firefox,Macintosh,2304
2023-12-20,Opera,Windows,1467
2023-12-20,Android Webview,Android,1323
2023-12-20,Edge,Android,663
2023-12-20,Firefox,Android,511
2023-12-20,Edge,Macintosh,323
2023-12-20,Amazon Silk,Android,303
2023-12-20,Firefox,Linux,200
2023-12-20,Opera,Android,163
2023-12-20,Mozilla Compatible Agent,Macintosh,159
2023-12-20,(not set),(not set),146
2023-12-20,Samsung Internet,Linux,139
2023-12-20,Opera,Macintosh,114
2023-12-19,Safari,iOS,211803
2023-12-19,Chrome,Windows,189877
2023-12-19,Chrome,Macintosh,82095
2023-12-19,Chrome,Android,69374
2023-12-19,Edge,Windows,66343
2023-12-19,Safari,Macintosh,61751
2023-12-19,Chrome,Chrome OS,29309
2023-12-19,Chrome,iOS,28871
2023-12-19,Chrome,Linux,13463
2023-12-19,Firefox,Windows,9444
2023-12-19,Samsung Internet,Android,5544
2023-12-19,Safari (in-app),iOS,5047
2023-12-19,Firefox,Macintosh,2351
2023-12-19,Opera,Windows,1600
2023-12-19,Android Webview,Android,1320
2023-12-19,Edge,Android,590
2023-12-19,Firefox,Android,459
2023-12-19,Edge,Macintosh,357
2023-12-19,Amazon Silk,Android,278
2023-12-19,Firefox,Linux,179
2023-12-19,(not set),(not set),157
2023-12-19,Mozilla Compatible Agent,Macintosh,157
2023-12-19,Samsung Internet,Linux,123
2023-12-19,Opera,Macintosh,117
2023-12-19,Opera,Android,115
2023-12-18,Chrome,Windows,188192
2023-12-18,Safari,iOS,182300
2023-12-18,Chrome,Macintosh,73962
2023-12-18,Edge,Windows,66836
2023-12-18,Chrome,Android,63008
2023-12-18,Safari,Macintosh,59656
2023-12-18,Chrome,Chrome OS,30916
2023-12-18,Chrome,iOS,25586
2023-12-18,Chrome,Linux,11934
2023-12-18,Firefox,Windows,9643
2023-12-18,Samsung Internet,Android,5130
2023-12-18,Safari (in-app),iOS,2992
2023-12-18,Firefox,Macintosh,2465
2023-12-18,Opera,Windows,1530
2023-12-18,Android Webview,Android,979
2023-12-18,Edge,Android,595
2023-12-18,Firefox,Android,473
2023-12-18,Edge,Macintosh,349
2023-12-18,Amazon Silk,Android,272
2023-12-18,Mozilla Compatible Agent,Macintosh,198
2023-12-18,Firefox,Linux,187
2023-12-18,(not set),(not set),175
2023-12-18,Opera,Android,145
2023-12-18,Samsung Internet,Linux,112
2023-12-18,Opera,Macintosh,109
2023-12-17,Safari,iOS,116313
2023-12-17,Chrome,Windows,67910
2023-12-17,Chrome,Android,41173
2023-12-17,Chrome,Macintosh,38243
2023-12-17,Safari,Macintosh,36644
2023-12-17,Edge,Windows,26298
2023-12-17,Chrome,iOS,16235
2023-12-17,Chrome,Chrome OS,11801
2023-12-17,Chrome,Linux,10769
2023-12-17,Firefox,Windows,3693
2023-12-17,Samsung Internet,Android,3268
2023-12-17,Safari (in-app),iOS,1756
2023-12-17,Firefox,Macintosh,1359
2023-12-17,Opera,Windows,869
2023-12-17,Android Webview,Android,765
2023-12-17,Edge,Android,390
2023-12-17,Firefox,Android,322
2023-12-17,Amazon Silk,Android,194
2023-12-17,Edge,Macintosh,169
2023-12-17,Mozilla Compatible Agent,Macintosh,161
2023-12-17,(not set),(not set),143
2023-12-17,Opera,Android,105
2023-12-16,Safari,iOS,126565
2023-12-16,Chrome,Windows,62493
2023-12-16,Chrome,Android,42431
2023-12-16,Chrome,Macintosh,34682
2023-12-16,Safari,Macintosh,33797
2023-12-16,Edge,Windows,24165
2023-12-16,Chrome,iOS,18056
2023-12-16,Chrome,Linux,12794
2023-12-16,Chrome,Chrome OS,10346
2023-12-16,Firefox,Windows,4095
2023-12-16,Samsung Internet,Android,3535
2023-12-16,Safari (in-app),iOS,1938
2023-12-16,Firefox,Macintosh,1193
2023-12-16,Opera,Windows,985
2023-12-16,Android Webview,Android,790
2023-12-16,Edge,Android,419
2023-12-16,Firefox,Android,354
2023-12-16,Amazon Silk,Android,191
2023-12-16,Edge,Macintosh,177
2023-12-16,Firefox,Linux,145
2023-12-16,Mozilla Compatible Agent,Macintosh,138
2023-12-16,Opera,Android,124
2023-12-16,(not set),(not set),117
2023-12-15,Safari,iOS,183616
2023-12-15,Chrome,Windows,179000
2023-12-15,Chrome,Macintosh,61013
2023-12-15,Edge,Windows,57250
2023-12-15,Chrome,Android,56039
2023-12-15,Safari,Macintosh,51853
2023-12-15,Chrome,Chrome OS,29633
2023-12-15,Chrome,iOS,24301
2023-12-15,Chrome,Linux,19235
2023-12-15,Firefox,Windows,8307
2023-12-15,Samsung Internet,Android,5038
2023-12-15,Safari (in-app),iOS,2251
2023-12-15,Firefox,Macintosh,2052
2023-12-15,Opera,Windows,1493
2023-12-15,Android Webview,Android,954
2023-12-15,Edge,Android,606
2023-12-15,Firefox,Android,470
2023-12-15,Edge,Macintosh,291
2023-12-15,Amazon Silk,Android,246
2023-12-15,Firefox,Linux,200
2023-12-15,(not set),(not set),177
2023-12-15,Mozilla Compatible Agent,Macintosh,166
2023-12-15,Opera,Android,135
2023-12-15,Opera,Macintosh,104
2023-12-15,Samsung Internet,Linux,101
2023-12-14,Chrome,Windows,205303
2023-12-14,Safari,iOS,188738
2023-12-14,Chrome,Macintosh,84722
2023-12-14,Edge,Windows,67701
2023-12-14,Safari,Macintosh,61131
2023-12-14,Chrome,Android,57946
2023-12-14,Chrome,Chrome OS,38567
2023-12-14,Chrome,iOS,25808
2023-12-14,Chrome,Linux,17567
2023-12-14,Firefox,Windows,9867
2023-12-14,Samsung Internet,Android,5113
2023-12-14,Safari (in-app),iOS,2505
2023-12-14,Firefox,Macintosh,2389
2023-12-14,Opera,Windows,1617
2023-12-14,Android Webview,Android,962
2023-12-14,Edge,Android,620
2023-12-14,Firefox,Android,507
2023-12-14,Edge,Macintosh,297
2023-12-14,Amazon Silk,Android,254
2023-12-14,Firefox,Linux,226
2023-12-14,Mozilla Compatible Agent,Macintosh,191
2023-12-14,(not set),(not set),165
2023-12-14,Opera,Android,159
2023-12-14,Opera,Macintosh,124
2023-12-14,Samsung Internet,Linux,118
2023-12-13,Chrome,Windows,209488
2023-12-13,Safari,iOS,202252
2023-12-13,Chrome,Macintosh,86231
2023-12-13,Edge,Windows,74261
2023-12-13,Safari,Macintosh,68019
2023-12-13,Chrome,Android,61122
2023-12-13,Chrome,Chrome OS,42398
2023-12-13,Chrome,iOS,25622
2023-12-13,Chrome,Linux,11708
2023-12-13,Firefox,Windows,10250
2023-12-13,Samsung Internet,Android,5039
2023-12-13,Safari (in-app),iOS,3042
2023-12-13,Firefox,Macintosh,2617
2023-12-13,Opera,Windows,1760
2023-12-13,Android Webview,Android,1142
2023-12-13,Edge,Android,581
2023-12-13,Firefox,Android,446
2023-12-13,Amazon Silk,Android,317
2023-12-13,Edge,Macintosh,315
2023-12-13,Mozilla Compatible Agent,Macintosh,214
2023-12-13,(not set),(not set),194
2023-12-13,Firefox,Linux,187
2023-12-13,Opera,Android,133
2023-12-13,Opera,Macintosh,122
2023-12-13,Samsung Internet,Linux,120
2023-12-12,Chrome,Windows,215958
2023-12-12,Safari,iOS,207943
2023-12-12,Chrome,Macintosh,80313
2023-12-12,Edge,Windows,77393
2023-12-12,Safari,Macintosh,68364
2023-12-12,Chrome,Android,62967
2023-12-12,Chrome,Chrome OS,44354
2023-12-12,Chrome,iOS,27010
2023-12-12,Chrome,Linux,22910
2023-12-12,Firefox,Windows,10201
2023-12-12,Samsung Internet,Android,5512
2023-12-12,Safari (in-app),iOS,3093
2023-12-12,Firefox,Macintosh,2779
2023-12-12,Opera,Windows,1743
2023-12-12,Android Webview,Android,1016
2023-12-12,Edge,Android,632
2023-12-12,Firefox,Android,473
2023-12-12,Edge,Macintosh,328
2023-12-12,Amazon Silk,Android,281
2023-12-12,Firefox,Linux,242
2023-12-12,Mozilla Compatible Agent,Macintosh,204
2023-12-12,(not set),(not set),148
2023-12-12,Opera,Android,135
2023-12-12,Samsung Internet,Linux,127
2023-12-12,Opera,Macintosh,119
2023-12-11,Chrome,Windows,227826
2023-12-11,Safari,iOS,202860
2023-12-11,Chrome,Macintosh,87234
2023-12-11,Edge,Windows,80527
2023-12-11,Safari,Macintosh,71390
2023-12-11,Chrome,Android,63399
2023-12-11,Chrome,Chrome OS,45712
2023-12-11,Chrome,iOS,26624
2023-12-11,Chrome,Linux,19956
2023-12-11,Firefox,Windows,11392
2023-12-11,Samsung Internet,Android,5322
2023-12-11,Firefox,Macintosh,2947
2023-12-11,Safari (in-app),iOS,2811
2023-12-11,Opera,Windows,1673
2023-12-11,Android Webview,Android,1134
2023-12-11,Edge,Android,555
2023-12-11,Firefox,Android,522
2023-12-11,Edge,Macintosh,381
2023-12-11,Amazon Silk,Android,317
2023-12-11,Mozilla Compatible Agent,Macintosh,237
2023-12-11,Firefox,Linux,202
2023-12-11,(not set),(not set),160
2023-12-11,Samsung Internet,Linux,160
2023-12-11,Opera,Android,153
2023-12-11,Opera,Macintosh,134
2023-12-10,Safari,iOS,134714
2023-12-10,Chrome,Windows,81829
2023-12-10,Chrome,Macintosh,49574
2023-12-10,Chrome,Android,45155
2023-12-10,Safari,Macintosh,44258
2023-12-10,Edge,Windows,32833
2023-12-10,Chrome,Linux,22045
2023-12-10,Chrome,iOS,18955
2023-12-10,Chrome,Chrome OS,14773
2023-12-10,Firefox,Windows,4207
2023-12-10,Samsung Internet,Android,3930
2023-12-10,Safari (in-app),iOS,2273
2023-12-10,Firefox,Macintosh,1638
2023-12-10,Opera,Windows,1033
2023-12-10,Android Webview,Android,889
2023-12-10,Edge,Android,410
2023-12-10,Firefox,Android,357
2023-12-10,Amazon Silk,Android,253
