date,os,visits
2023-12-04,OS/2,285
2023-12-04,Firefox OS,175
2023-12-04,Fuchsia,114
2023-12-03,iOS,910731
2023-12-03,Windows,797067
2023-12-03,Android,600286
2023-12-03,Macintosh,422728
2023-12-03,Linux,110093
2023-12-03,Chrome OS,91268
2023-12-03,(not set),605
2023-12-03,Tizen,455
2023-12-03,OS/2,355
2023-12-03,Firefox OS,193
2023-12-03,Fuchsia,139
2023-12-02,iOS,870626
2023-12-02,Windows,765846
2023-12-02,Android,594723
2023-12-02,Macintosh,381722
2023-12-02,Linux,106382
2023-12-02,Chrome OS,86901
2023-12-02,(not set),541
2023-12-02,Tizen,418
2023-12-02,OS/2,321
2023-12-02,Firefox OS,200
2023-12-02,Fuchsia,138
2023-12-01,Windows,1337059
2023-12-01,iOS,869438
2023-12-01,Android,598785
2023-12-01,Macintosh,449604
2023-12-01,Chrome OS,152607
2023-12-01,Linux,113850
2023-12-01,(not set),609
2023-12-01,Tizen,461
2023-12-01,OS/2,369
2023-12-01,Firefox OS,222
2023-12-01,Fuchsia,133
2023-11-30,Windows,1450133
2023-11-30,iOS,898684
2023-11-30,Android,618153
2023-11-30,Macintosh,487319
2023-11-30,Chrome OS,172472
2023-11-30,Linux,126673
2023-11-30,(not set),867
2023-11-30,Tizen,505
2023-11-30,OS/2,377
2023-11-30,Firefox OS,238
2023-11-30,Fuchsia,122
2023-11-30,Playstation 4,108
2023-11-29,Windows,1438178
2023-11-29,iOS,820696
2023-11-29,Android,535724
2023-11-29,Macintosh,470974
2023-11-29,Chrome OS,163819
2023-11-29,Linux,127415
2023-11-29,(not set),780
2023-11-29,Tizen,410
2023-11-29,OS/2,287
2023-11-29,Firefox OS,194
2023-11-29,Fuchsia,140
2023-11-28,Windows,1393014
2023-11-28,iOS,788210
2023-11-28,Android,545317
2023-11-28,Macintosh,476803
2023-11-28,Chrome OS,161644
2023-11-28,Linux,126246
2023-11-28,(not set),910
2023-11-28,Tizen,417
2023-11-28,OS/2,293
2023-11-28,Firefox OS,189
2023-11-28,Fuchsia,159
2023-11-27,Windows,1410958
2023-11-27,iOS,824773
2023-11-27,Android,552086
2023-11-27,Macintosh,470874
2023-11-27,Chrome OS,153261
2023-11-27,Linux,127554
2023-11-27,(not set),661
2023-11-27,Tizen,453
2023-11-27,OS/2,299
2023-11-27,Firefox OS,200
2023-11-27,Fuchsia,163
2023-11-27,Playstation 4,112
2023-11-26,iOS,921035
2023-11-26,Windows,784147
2023-11-26,Android,640767
2023-11-26,Macintosh,414040
2023-11-26,Linux,124587
2023-11-26,Chrome OS,93249
2023-11-26,(not set),614
2023-11-26,Tizen,448
2023-11-26,OS/2,367
2023-11-26,Fuchsia,212
2023-11-26,Firefox OS,211
2023-11-26,Playstation 4,123
2023-11-25,iOS,881647
2023-11-25,Windows,699915
2023-11-25,Android,610600
2023-11-25,Macintosh,358732
2023-11-25,Linux,123553
2023-11-25,Chrome OS,86769
2023-11-25,(not set),532
2023-11-25,Tizen,406
2023-11-25,OS/2,337
2023-11-25,Firefox OS,192
2023-11-25,Fuchsia,121
2023-11-25,Playstation 4,106
2023-11-24,Windows,853228
2023-11-24,iOS,829528
2023-11-24,Android,585189
2023-11-24,Macintosh,357233
2023-11-24,Linux,120465
2023-11-24,Chrome OS,87099
2023-11-24,(not set),1875
2023-11-24,Tizen,407
2023-11-24,OS/2,310
2023-11-24,Firefox OS,193
2023-11-23,iOS,728407
2023-11-23,Windows,706035
2023-11-23,Android,520462
2023-11-23,Macintosh,311847
2023-11-23,Linux,121698
2023-11-23,Chrome OS,83036
2023-11-23,(not set),1633
2023-11-23,Tizen,415
2023-11-23,OS/2,252
2023-11-23,Firefox OS,183
2023-11-22,Windows,1123071
2023-11-22,iOS,783135
2023-11-22,Android,535213
2023-11-22,Macintosh,386180
2023-11-22,Linux,122782
2023-11-22,Chrome OS,91126
2023-11-22,(not set),607
2023-11-22,Tizen,450
2023-11-22,OS/2,272
2023-11-22,Firefox OS,150
2023-11-22,Fuchsia,120
2023-11-21,Windows,1397055
2023-11-21,iOS,865211
2023-11-21,Android,623423
2023-11-21,Macintosh,449581
2023-11-21,Chrome OS,128799
2023-11-21,Linux,125265
2023-11-21,(not set),613
2023-11-21,Tizen,468
2023-11-21,OS/2,376
2023-11-21,Firefox OS,214
2023-11-21,Fuchsia,140
2023-11-21,Playstation 4,125
2023-11-20,Windows,1488418
2023-11-20,iOS,993377
2023-11-20,Android,672123
2023-11-20,Macintosh,478780
2023-11-20,Chrome OS,136412
2023-11-20,Linux,127906
2023-11-20,(not set),1933
2023-11-20,Tizen,526
2023-11-20,OS/2,374
2023-11-20,Firefox OS,237
2023-11-20,Fuchsia,159
2023-11-20,Playstation 4,139
2023-11-19,iOS,915018
2023-11-19,Windows,761684
2023-11-19,Android,628919
2023-11-19,Macintosh,404811
2023-11-19,Linux,117259
2023-11-19,Chrome OS,92800
2023-11-19,(not set),560
2023-11-19,Tizen,456
2023-11-19,OS/2,313
2023-11-19,Firefox OS,196
2023-11-19,Fuchsia,140
2023-11-19,Playstation 4,132
2023-11-18,iOS,880930
2023-11-18,Windows,737254
2023-11-18,Android,631795
2023-11-18,Macintosh,375221
2023-11-18,Linux,116627
2023-11-18,Chrome OS,88348
2023-11-18,Tizen,531
2023-11-18,(not set),481
2023-11-18,OS/2,267
2023-11-18,Firefox OS,152
2023-11-18,Fuchsia,105
2023-11-18,Playstation 4,102
2023-11-17,Windows,1297965
2023-11-17,iOS,922968
2023-11-17,Android,663667
2023-11-17,Macintosh,446229
2023-11-17,Chrome OS,144185
2023-11-17,Linux,129100
2023-11-17,(not set),1407
2023-11-17,Tizen,541
2023-11-17,OS/2,299
2023-11-17,Firefox OS,190
2023-11-17,Playstation 4,126
2023-11-17,Fuchsia,112
2023-11-16,Windows,1469114
2023-11-16,iOS,920015
2023-11-16,Android,650029
2023-11-16,Macintosh,480732
2023-11-16,Chrome OS,165928
2023-11-16,Linux,124392
2023-11-16,(not set),1002
2023-11-16,Tizen,557
2023-11-16,OS/2,291
2023-11-16,Firefox OS,170
2023-11-16,Fuchsia,122
2023-11-16,Playstation 4,106
2023-11-15,Windows,1439319
2023-11-15,iOS,896124
2023-11-15,Android,591526
2023-11-15,Macintosh,487054
2023-11-15,Chrome OS,159884
2023-11-15,Linux,127923
2023-11-15,(not set),1299
2023-11-15,Tizen,526
2023-11-15,OS/2,316
2023-11-15,Firefox OS,170
2023-11-15,Playstation 4,116
2023-11-15,Fuchsia,114
2023-11-14,Windows,1348957
2023-11-14,iOS,792277
2023-11-14,Android,567770
2023-11-14,Macintosh,481769
2023-11-14,Chrome OS,157883
2023-11-14,Linux,121369
2023-11-14,(not set),911
2023-11-14,Tizen,473
2023-11-14,OS/2,287
2023-11-14,Firefox OS,145
2023-11-14,Playstation 4,104
2023-11-14,Fuchsia,101
2023-11-13,Windows,1328639
2023-11-13,iOS,825017
2023-11-13,Android,572371
2023-11-13,Macintosh,487534
2023-11-13,Chrome OS,152309
2023-11-13,Linux,119003
2023-11-13,(not set),673
2023-11-13,Tizen,487
2023-11-13,OS/2,285
2023-11-13,Firefox OS,148
2023-11-13,Fuchsia,108
2023-11-12,iOS,786598
2023-11-12,Windows,720695
2023-11-12,Android,550450
2023-11-12,Macintosh,387246
2023-11-12,Linux,109522
2023-11-12,Chrome OS,90310
2023-11-12,(not set),559
2023-11-12,Tizen,445
2023-11-12,OS/2,269
2023-11-12,Firefox OS,145
2023-11-12,Fuchsia,113
2023-11-11,iOS,766181
2023-11-11,Windows,725405
2023-11-11,Android,525599
2023-11-11,Macintosh,362060
2023-11-11,Linux,114386
2023-11-11,Chrome OS,87368
2023-11-11,(not set),813
2023-11-11,Tizen,451
2023-11-11,OS/2,279
2023-11-11,Firefox OS,148
2023-11-10,Windows,1061092
2023-11-10,iOS,767840
2023-11-10,Android,529993
2023-11-10,Macintosh,399719
2023-11-10,Linux,121147
2023-11-10,Chrome OS,118741
2023-11-10,(not set),1381
2023-11-10,Tizen,474
2023-11-10,OS/2,308
2023-11-10,Firefox OS,170
2023-11-10,Fuchsia,102
2023-11-09,Windows,1379507
2023-11-09,iOS,799433
2023-11-09,Android,572246
2023-11-09,Macintosh,451755
2023-11-09,Chrome OS,149073
2023-11-09,Linux,118278
2023-11-09,(not set),797
2023-11-09,Tizen,516
2023-11-09,OS/2,323
2023-11-09,Firefox OS,195
2023-11-09,Fuchsia,112
2023-11-08,Windows,1383790
2023-11-08,iOS,828470
2023-11-08,Android,565714
2023-11-08,Macintosh,471414
2023-11-08,Chrome OS,161080
2023-11-08,Linux,118127
2023-11-08,(not set),1059
2023-11-08,Tizen,492
2023-11-08,OS/2,352
2023-11-08,Firefox OS,180
2023-11-08,Fuchsia,109
2023-11-07,Windows,1410825
2023-11-07,iOS,805527
2023-11-07,Android,545762
2023-11-07,Macintosh,472556
2023-11-07,Chrome OS,144914
2023-11-07,Linux,123250
2023-11-07,(not set),2379
2023-11-07,Tizen,508
2023-11-07,OS/2,269
2023-11-07,Firefox OS,143
2023-11-06,Windows,1396623
2023-11-06,iOS,805721
2023-11-06,Android,562751
2023-11-06,Macintosh,494978
2023-11-06,Chrome OS,148663
2023-11-06,Linux,124455
2023-11-06,(not set),701
2023-11-06,Tizen,528
2023-11-06,OS/2,279
2023-11-06,Firefox OS,167
2023-11-06,Fuchsia,115
2023-11-05,iOS,871339
2023-11-05,Windows,786548
2023-11-05,Android,609993
2023-11-05,Macintosh,412267
2023-11-05,Linux,121725
2023-11-05,Chrome OS,94118
2023-11-05,(not set),596
2023-11-05,Tizen,451
2023-11-05,OS/2,309
2023-11-05,Firefox OS,165
2023-11-05,Fuchsia,130
2023-11-05,Playstation 4,113
2023-11-04,iOS,742125
2023-11-04,Windows,723848
2023-11-04,Android,531983
2023-11-04,Macintosh,354720
2023-11-04,Linux,113168
2023-11-04,Chrome OS,82628
2023-11-04,(not set),788
2023-11-04,Tizen,469
2023-11-04,OS/2,287
2023-11-04,Firefox OS,149
2023-11-03,Windows,1194179
2023-11-03,iOS,779559
2023-11-03,Android,543076
2023-11-03,Macintosh,411558
2023-11-03,Chrome OS,135570
2023-11-03,Linux,119516
2023-11-03,(not set),723
2023-11-03,Tizen,498
2023-11-03,OS/2,271
2023-11-03,Firefox OS,165
2023-11-02,Windows,1318804
2023-11-02,iOS,769297
2023-11-02,Android,546789
2023-11-02,Macintosh,457138
2023-11-02,Chrome OS,161533
2023-11-02,Linux,121929
2023-11-02,(not set),924
2023-11-02,Tizen,510
2023-11-02,OS/2,289
2023-11-02,Firefox OS,189
2023-11-02,Fuchsia,145
2023-11-01,Windows,1436173
2023-11-01,iOS,850097
2023-11-01,Android,621709
2023-11-01,Macintosh,470112
2023-11-01,Chrome OS,157403
2023-11-01,Linux,127211
